,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
46,Barros,10 Years Old Tawny Porto N.V.,Portugal_Porto,3.9,$29.99,Port,Portugal,Porto,N.V.,Tawny
47,Henriques & Henriques,5 Years Old Finest Full Rich Madeira N.V.,Portugal_Madeira,3.9,$29.99,Port,Portugal,Madeira,N.V.,Port
48,Lustau,Don Nuño Dry Oloroso Sherry (Reserva Solera) N.V.,Spain_Oloroso Sherry,3.7,$26.99,Port,Spain,Oloroso Sherry,N.V.,Sherry
49,Burmester,20 Year Old Tawny Port N.V.,Portugal_Porto,4.2,$79.99,Port,Portugal,Porto,N.V.,Tawny
50,Gonzalez-Byass,Leonor Palo Cortado Seco N.V.,Spain_Palo Cortado Sherry,4.0,$31,Port,Spain,Palo Cortado Sherry,N.V.,Port
51,Ferreira,Dona Antonia 10 Años Old Tawny Porto N.V.,Portugal_Porto,4.2,$35.99,Port,Portugal,Porto,N.V.,Tawny
52,Churchill's,10 Years Old Tawny Port N.V.,Portugal_Porto,4.0,$36.99,Port,Portugal,Porto,N.V.,Tawny
53,Croft,Tawny Port 10 Year Old N.V.,Portugal_Porto,4.0,$34.99,Port,Portugal,Porto,N.V.,Tawny
54,Gonzalez-Byass,Apostoles 30 Years Old Sherry N.V.,Spain_Palo Cortado Sherry,4.3,$51.99,Port,Spain,Palo Cortado Sherry,N.V.,Sherry
55,Messias,Porto 20 Anos N.V.,Portugal_Porto,4.2,$59.99,Port,Portugal,Porto,N.V.,20
56,Niepoort,Porto 20 Years Old Tawny N.V.,Portugal_Porto,4.3,$72.99,Port,Portugal,Porto,N.V.,Tawny
57,Toro Albalá,Don PX Convento Selección N.V.,Spain_Montilla-Moriles,4.7,$307.98,Port,Spain,Montilla-Moriles,N.V.,Port
58,Ramos Pinto,30 Year Old Tawny Porto N.V.,Portugal_Porto,4.5,$98.98,Port,Portugal,Porto,N.V.,Tawny
59,Taylor's,30 Year Old Tawny Port N.V.,Portugal_Porto,4.5,$129.99,Port,Portugal,Porto,N.V.,Tawny
60,Gonzalez-Byass,Del Duque Amontillado Sherry N.V.,Spain_Amontillado Sherry,4.2,$66.99,Port,Spain,Amontillado Sherry,N.V.,Sherry
61,Quinta da Romaneira,Late Bottled Vintage Port Unfiltered N.V.,Portugal_Porto,4.0,$25.29,Port,Portugal,Porto,N.V.,Vintage
62,Maynard's,20 Years Old Aged Tawny Porto N.V.,Portugal_Porto,4.0,$32.99,Port,Portugal,Porto,N.V.,Tawny
63,Dow's,Colheita Single Harvest Tawny Port 2002,Portugal_Porto,4.1,$47.99,Port,Portugal,Porto,2002,Colheita
64,Krohn,10 Years Old Tawny Porto N.V.,Portugal_Porto,3.8,$28.99,Port,Portugal,Porto,N.V.,Tawny
65,Messias,Quinta do Cachão LBV Port N.V.,Portugal_Porto,3.8,$29.99,Port,Portugal,Porto,N.V.,LBV
66,Gonzalez-Byass,Viña AB Amontillado Seco N.V.,Spain_Jerez-Xérès-Sherry,3.7,$27.99,Port,Spain,Jerez-Xérès-Sherry,N.V.,Port
67,Bodegas Tradición,Amontillado Tradición Vors 30 Years N.V.,Spain_Amontillado Sherry,4.3,$99.99,Port,Spain,Amontillado Sherry,N.V.,Port
68,Lustau,Emilín Moscatel Sherry (Solera Reserva) N.V.,Spain_Jerez-Xérès-Sherry,4.0,$34.99,Port,Spain,Jerez-Xérès-Sherry,N.V.,Sherry
69,Hidalgo (La Gitana),Manzanilla Pasada Pastrana N.V.,Spain_Manzanilla,3.7,$34.99,Port,Spain,Manzanilla,N.V.,Port
70,Heitz Cellar,Ink Grade Port N.V.,United States_Napa Valley,4.2,$41.99,Port,United States,Napa Valley,N.V.,Port
71,W. & J. Graham's,10 Year Old Tawny Port 2010,Portugal_Porto,4.1,$29.99,Port,Portugal,Porto,2010,Tawny
72,Dow's,Late Bottled Vintage Port 2012,Portugal_Porto,3.7,$29.99,Port,Portugal,Porto,2012,Vintage
73,Sandeman,30 Years Old Tawny Porto N.V.,Portugal_Porto,4.5,$109.99,Port,Portugal,Porto,N.V.,Tawny
74,W. & J. Graham's,Vintage Port 2000,Portugal_Porto,4.4,$107.99,Port,Portugal,Porto,2000,Vintage
