,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
46,Perrier-Jouët,Belle Epoque Rosé Brut Champagne N.V.,France_Champagne,4.5,$300,Sparkling,France,Champagne,N.V.,Brut
47,Ferrari,'Giulio Ferrari' Riserva del Fondatore 2006,Italy_Trento,4.5,$149.99,Sparkling,Italy,Trento,2006,Sparkling
48,Ferrari,'Giulio Ferrari' Riserva del Fondatore 2005,Italy_Trento,4.5,$149.99,Sparkling,Italy,Trento,2005,Sparkling
49,Ferrari,'Giulio Ferrari' Riserva del Fondatore 2007,Italy_Trento,4.5,$134.99,Sparkling,Italy,Trento,2007,Sparkling
50,Bollinger,La Grande Année Brut Champagne 2008,France_Champagne,4.5,$149.99,Sparkling,France,Champagne,2008,Brut
51,Dom Pérignon,Brut Rosé Champagne 2005,France_Champagne,4.5,$349.99,Sparkling,France,Champagne,2005,Brut
52,Krug,Brut Champagne 2003,France_Champagne,4.5,$259.99,Sparkling,France,Champagne,2003,Brut
53,Bollinger,La Grande Année Rosé Brut Champagne 2004,France_Champagne,4.5,$199.99,Sparkling,France,Champagne,2004,Brut
54,Perrier-Jouët,Belle Epoque Blanc de Blancs Champagne N.V.,France_Champagne,4.5,$355,Sparkling,France,Champagne,N.V.,Blanc de Blanc
55,Deutz,Amour de Deutz Millésime Brut Champagne 2008,France_Champagne,4.5,$207.99,Sparkling,France,Champagne,2008,Brut
56,Armand de Brignac,Brut Rosé Champagne N.V.,France_Champagne,4.5,$429.99,Sparkling,France,Champagne,N.V.,Brut
57,Ruinart,Dom Ruinart Brut Champagne 2002,France_Champagne,4.5,$449.99,Sparkling,France,Champagne,2002,Brut
58,Perrier-Jouët,Belle Epoque Rosé Brut Champagne 2006,France_Champagne,4.5,$299.99,Sparkling,France,Champagne,2006,Brut
59,Billecart-Salmon,Blanc de Blancs Brut Champagne Grand Cru 2004,France_Champagne Grand Cru,4.5,$189.98,Sparkling,France,Champagne Grand Cru,2004,Brut
60,Deutz,Amour de Deutz Millésime Brut Champagne 2009,France_Champagne,4.5,$207.99,Sparkling,France,Champagne,2009,Brut
61,Veuve Clicquot,La Grande Dame Brut Rosé Champagne 2004,France_Champagne,4.5,$299.99,Sparkling,France,Champagne,2004,Brut
62,Taittinger,Comtes de Champagne Rosé 2005,France_Champagne,4.5,$269.99,Sparkling,France,Champagne,2005,Rosé
63,Ruinart,Dom Ruinart Blanc de Blancs Brut Champagne 2007,France_Champagne,4.5,$169.99,Sparkling,France,Champagne,2007,Brut
64,Schramsberg,J. Schram Brut 2007,United States_North Coast,4.5,$129.99,Sparkling,United States,North Coast,2007,Brut
65,Schramsberg,J. Schram Brut 2008,United States_North Coast,4.5,$99,Sparkling,United States,North Coast,2008,Brut
66,Altaneve,Rosé N.V.,Italy_Vino d'Italia,4.5,$26.90,Sparkling,Italy,Vino d'Italia,N.V.,Rosé
67,Ca' del Bosco,Cuvée Annamaria Clementi (Extra Brut) 2010,Italy_Franciacorta,4.5,$111.99,Sparkling,Italy,Franciacorta,2010,Brut
68,Perrier-Jouët,Belle Epoque Brut Champagne 1990,France_Champagne,4.5,$299.99,Sparkling,France,Champagne,1990,Brut
69,Schramsberg,J. Schram Brut 2010,United States_North Coast,4.5,$119.99,Sparkling,United States,North Coast,2010,Brut
70,Schramsberg,Reserve 2009,United States_North Coast,4.5,$134.99,Sparkling,United States,North Coast,2009,Sparkling
71,Ployez-Jacquemart,Extra Brut Vintage Champagne 2008,France_Champagne,4.5,$89.99,Sparkling,France,Champagne,2008,Brut
72,Gloria Ferrer,Carneros Cuvée 2005,United States_Los Carneros,4.5,$95.99,Sparkling,United States,Los Carneros,2005,Sparkling
73,Larmandier-Bernier,Vieille Vigne du Levant Champagne Grand Cru 2010,France_Champagne Grand Cru,4.5,$136.99,Sparkling,France,Champagne Grand Cru,2010,Champagne
74,Deutz,Cuvée William Deutz Millesimé Brut Champagne 2009,France_Champagne,4.5,$180.99,Sparkling,France,Champagne,2009,Brut
75,Piper-Heidsieck,Rare Brut Rosé Champagne (Millesimé) 2007,France_Champagne,4.5,$448.99,Sparkling,France,Champagne,2007,Brut
76,Argyle,Extended Tirage Brut 2008,United States_Willamette Valley,4.5,$69.99,Sparkling,United States,Willamette Valley,2008,Brut
77,Schramsberg,J. Schram Brut 2004,United States_North Coast,4.5,$99.99,Sparkling,United States,North Coast,2004,Brut
78,Ca' del Bosco,Cuvée Annamaria Clementi Rosé (Extra Brut) 2009,Italy_Franciacorta,4.5,$143.99,Sparkling,Italy,Franciacorta,2009,Brut
79,Veuve Clicquot,La Grande Dame Brut Rosé Champagne 2008,France_Champagne,4.5,$249.90,Sparkling,France,Champagne,2008,Brut
80,Billecart-Salmon,Cuvée Nicolas François Billecart Brut Champagne 2002,France_Champagne,4.4,$224.99,Sparkling,France,Champagne,2002,Brut
81,Perrier-Jouët,Belle Epoque Brut Champagne N.V.,France_Champagne,4.4,$149.99,Sparkling,France,Champagne,N.V.,Brut
82,Ruinart,Dom Ruinart Blanc de Blancs Brut Champagne N.V.,France_Champagne,4.4,$74.95,Sparkling,France,Champagne,N.V.,Brut
83,Egly-Ouriet,Blanc de Noirs Brut Champagne Grand Cru 'Ambonnay' N.V.,France_Champagne Grand Cru 'Ambonnay',4.4,$149.99,Sparkling,France,Champagne Grand Cru 'Ambonnay',N.V.,Blanc de Noir
84,Armand de Brignac,Brut Champagne (Gold) N.V.,France_Champagne,4.4,$289.95,Sparkling,France,Champagne,N.V.,Brut
85,Perrier-Jouët,Belle Epoque Brut Champagne 2011,France_Champagne,4.4,$159.95,Sparkling,France,Champagne,2011,Brut
86,Pommery,Cuvée Louise Brut Champagne 2004,France_Champagne,4.4,$139.99,Sparkling,France,Champagne,2004,Brut
87,Billecart-Salmon,Brut Rosé Champagne N.V.,France_Champagne,4.4,$72.99,Sparkling,France,Champagne,N.V.,Brut
