,winery,wine,rating,wine_style,wine_category,vintage,region,country,price,contact_for_price,wine_style_code,wine_category_code,region_code,country_code
639,Uccelliera,Rosso di Montalcino N.V.,3.8,Blend,Red,N.V.,Toscana,Italy,30.79,,10,2,849,19
640,Hall,Napa Valley Cabernet Sauvignon 2015,4.3,Cabernet Sauvignon,Red,2015,Napa Valley,United States,59.99,,15,2,587,36
641,Château Pichon Longueville Comtesse de Lalande,Réserve (de la Comtesse) Pauillac 2009,4.1,Blend,Red,2009,Pauillac,France,109.99,,10,2,638,12
642,Balletto Vineyards,Pinot Noir N.V.,4.0,Pinot Noir,Red,N.V.,Russian River Valley,United States,32.99,,57,2,735,36
643,Catena Alta,Malbec 2015,4.2,Malbec,Red,2015,Mendoza,Argentina,39.41,,38,2,507,0
644,Domaine Drouhin,Pinot Noir 2014,4.1,Pinot Noir,Red,2014,Dundee Hills,United States,45.99,,57,2,327,36
645,The Prisoner,Cuttings 2016,4.3,Blend,Red,2016,California,United States,54.99,,10,2,132,36
646,Sequoia Grove,Cabernet Sauvignon 2016,4.3,Cabernet Sauvignon,Red,2016,Napa Valley,United States,46.0,,15,2,587,36
647,Cloudy Bay,Pinot Noir 2014,3.8,Pinot Noir,Red,2014,Marlborough,New Zealand,41.99,,57,2,497,25
648,Louis Jadot,Château des Jacques Morgon N.V.,3.6,Blend,Red,N.V.,Morgon,France,27.49,,10,2,553,12
649,Tenuta San Guido,Sassicaia 2016,4.7,Blend,Red,2016,Bolgheri Sassicaia,Italy,249.98,,10,2,103,19
650,Domenico Clerico,Barolo Percristina N.V.,4.4,Barolo,Red,N.V.,Barolo,Italy,149.99,,6,2,73,19
651,Château Cantemerle,Haut-Médoc (Grand Cru Classé) 2011,3.8,Blend,Red,2011,Haut-Médoc,France,49.99,,10,2,407,12
652,Susana Balbo,Signature Malbec 2016,4.0,Malbec,Red,2016,Lujan de Cuyo,Argentina,26.99,,38,2,476,0
653,El Enemigo,Gran Enemigo Single Vineyard Agrelo Cabernet Franc 2014,4.6,Cabernet Franc,Red,2014,Agrelo,Argentina,127.99,,14,2,6,0
654,Mollydooker,Gigglepot Cabernet Sauvignon N.V.,4.2,Cabernet Sauvignon,Red,N.V.,McLaren Vale,Australia,50.59,,15,2,503,2
655,Marques de Casa Concha,Carmenère 2016,4.1,Blend,Red,2016,Peumo,Chile,32.99,,10,2,652,7
656,Azelia,Barolo N.V.,4.0,Barolo,Red,N.V.,Barolo,Italy,43.99,,6,2,73,19
657,Cheval des Andes,Mendoza 2007,4.3,Blend,Red,2007,Mendoza,Argentina,186.99,,10,2,507,0
658,Torres,Mas La Plana Cabernet Sauvignon 2013,4.3,Cabernet Sauvignon,Red,2013,Penedès,Spain,69.99,,15,2,644,32
659,Bussola,Valpolicella Classico Superiore TB N.V.,4.3,Valpolicella,Red,N.V.,Valpolicella Classico,Italy,49.49,,86,2,880,19
660,Charles Krug,Cabernet Sauvignon 2016,4.1,Cabernet Sauvignon,Red,2016,Napa Valley,United States,34.99,,15,2,587,36
661,Château Musar,Rouge (Gaston Hochar) 2010,4.2,Blend,Red,2010,Bekaa Valley,Lebanon,72.99,,10,2,92,20
662,Orin Swift,Slander Pinot Noir N.V.,4.2,Pinot Noir,Red,N.V.,California,United States,51.68,,57,2,132,36
663,Stags' Leap,The Investor Red 2015,4.3,Blend,Red,2015,Napa Valley,United States,44.99,,10,2,587,36
664,Duckhorn,Napa Valley Cabernet Sauvignon 2016,4.3,Cabernet Sauvignon,Red,2016,Napa Valley,United States,59.75,,15,2,587,36
665,Belle Glos,Dairyman Vineyard Pinot Noir 2017,4.4,Pinot Noir,Red,2017,Russian River Valley,United States,43.98,,57,2,735,36
666,Olema,Cabernet Sauvignon 2016,3.8,Cabernet Sauvignon,Red,2016,Sonoma County,United States,27.99,,15,2,804,36
667,Château Calon-Ségur,Saint-Estèphe (Grand Cru Classé) 2005,4.3,Blend,Red,2005,Saint-Estèphe,France,245.99,,10,2,748,12
668,Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos 2010,4.4,Blend,Red,2010,Ribera del Duero,Spain,107.99,,10,2,706,32
669,Château Calon-Ségur,Saint-Estèphe (Grand Cru Classé) 2000,4.3,Blend,Red,2000,Saint-Estèphe,France,187.99,,10,2,748,12
670,Fabre Montmayou,Grand Vin Mendoza N.V.,4.2,Blend,Red,N.V.,Lujan de Cuyo,Argentina,49.49,,10,2,476,0
671,Bacio Divino,Pazzo N.V.,4.1,Blend,Red,N.V.,Napa Valley,United States,32.99,,10,2,587,36
672,Château Lagrange,Saint-Julien (Grand Cru Classé) 2010,4.2,Blend,Red,2010,Saint-Julien,France,68.99,,10,2,752,12
673,Château Lynch-Bages,Pauillac (Grand Cru Classé) 1996,4.4,Blend,Red,1996,Pauillac,France,399.99,,10,2,638,12
674,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2006,4.3,Blend,Red,2006,Pauillac,France,149.99,,10,2,638,12
675,Masciarelli,Montepulciano d'Abruzzo Marina Cvetic 2014,4.1,Montepulciano,Red,2014,Montepulciano d'Abruzzo,Italy,29.99,,43,2,536,19
676,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2008,4.2,Blend,Red,2008,Pauillac,France,150.0,,10,2,638,12
677,Orin Swift,Palermo Cabernet Sauvignon 2016,4.3,Cabernet Sauvignon,Red,2016,Napa Valley,United States,45.99,,15,2,587,36
678,Forman,Cabernet Sauvignon N.V.,4.3,Cabernet Sauvignon,Red,N.V.,Napa Valley,United States,109.98,,15,2,587,36
679,Cune (CVNE),Gran Reserva 2010,3.9,Blend,Red,2010,Rioja,Spain,32.99,,10,2,710,32
680,Speri,Vigneto Monte Sant'Urbano Amarone della Valpolicella Classico 2013,4.4,Valpolicella,Red,2013,Amarone della Valpolicella Classico,Italy,63.99,,86,2,34,19
681,Château Pichon Baron,Pauillac (Grand Cru Classé) 2005,4.5,Blend,Red,2005,Pauillac,France,255.0,,10,2,638,12
682,Château Lagrange,Saint-Julien (Grand Cru Classé) 2009,4.2,Blend,Red,2009,Saint-Julien,France,75.0,,10,2,752,12
683,Geantet-Pansiot,Gevrey-Chambertin Vieilles Vignes N.V.,4.1,Blend,Red,N.V.,Gevrey-Chambertin,France,76.98,,10,2,380,12
684,Domaine Henri Boillot,Bourgogne Pinot Noir N.V.,3.9,Pinot Noir,Red,N.V.,Bourgogne,France,32.99,,57,2,110,12
685,Sottimano,Langhe Nebbiolo N.V.,3.7,Nebbiolo,Red,N.V.,Langhe,Italy,26.39,,47,2,451,19
686,Aldo Conterno,Langhe N.V.,3.8,Blend,Red,N.V.,Langhe,Italy,27.49,,10,2,451,19
687,A to Z,The Essence Of Oregon Pinot Noir N.V.,3.9,Pinot Noir,Red,N.V.,Oregon,United States,28.58,,57,2,620,36
688,Penfolds,Bin 389 Cabernet - Shiraz 2016,4.3,Shiraz,Red,2016,South Australia,Australia,54.99,,75,2,807,2
689,Château de Saint Cosme,Saint Cosme Châteauneuf-du-Pape N.V.,4.1,Blend,Red,N.V.,Châteauneuf-du-Pape,France,54.98,,10,2,231,12
690,El Principal,Memorias 2014,4.3,Blend,Red,2014,Maipo Valley,Chile,50.0,,10,2,482,7
691,La Braccesca,Vino Nobile di Montepulciano 2016,3.9,Montepulciano,Red,2016,Vino Nobile di Montepulciano,Italy,25.99,,43,2,911,19
692,Xavier Vignon,SM N.V.,3.8,Blend,Red,N.V.,Côtes-du-Rhône,France,25.29,,10,2,316,12
693,Tenuta di Ghizzano,Veneroso N.V.,3.9,Blend,Red,N.V.,Toscana,Italy,32.99,,10,2,849,19
694,Tsantali,Rapsani (ΡΑΨΑΝΗ) Reserve N.V.,3.6,Blend,Red,N.V.,Rapsani,Greece,32.99,,10,2,690,15
695,Sharecropper’s,Pinot Noir N.V.,3.8,Pinot Noir,Red,N.V.,Willamette Valley,United States,29.99,,57,2,945,36
696,Pahlmeyer,Jayson Cabernet Sauvignon N.V.,4.4,Cabernet Sauvignon,Red,N.V.,Napa Valley,United States,87.99,,15,2,587,36
697,Belle Glos,Las Alturas Vineyard Pinot Noir 2017,4.4,Pinot Noir,Red,2017,Santa Lucia Highlands,United States,39.99,,57,2,775,36
698,Tablas Creek Vineyard,Patelin de Tablas N.V.,3.7,Blend,Red,N.V.,Paso Robles,United States,27.99,,10,2,634,36
699,Joel Gott,Oregon Pinot Noir N.V.,3.8,Pinot Noir,Red,N.V.,Willamette Valley,United States,27.99,,57,2,945,36
700,Altesino,Brunello di Montalcino 2012,4.2,Brunello,Red,2012,Brunello di Montalcino,Italy,133.99,,12,2,120,19
701,Tenuta CastelGiocondo,Brunello di Montalcino 2006,4.2,Brunello,Red,2006,Brunello di Montalcino,Italy,49.99,,12,2,120,19
702,Pine Ridge,Stags Leap District Cabernet Sauvignon N.V.,4.5,Cabernet Sauvignon,Red,N.V.,Stags Leap District,United States,109.99,,15,2,818,36
703,Carpineto,Vino Nobile di Montepulciano Riserva 2013,4.0,Montepulciano,Red,2013,Vino Nobile di Montepulciano,Italy,29.99,,43,2,911,19
704,Two Hands,Angels' Share Shiraz 2017,4.0,Shiraz,Red,2017,McLaren Vale,Australia,29.69,,75,2,503,2
705,Massolino,Barolo Parafada N.V.,4.2,Barolo,Red,N.V.,Barolo,Italy,87.99,,6,2,73,19
706,Flowers,Pinot Noir 2016,4.3,Pinot Noir,Red,2016,Sonoma Coast,United States,54.99,,57,2,803,36
707,Salentein,Numina Gran Corte 2014,4.2,Blend,Red,2014,Tunuyán,Argentina,37.99,,10,2,859,0
708,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2009,4.6,Blend,Red,2009,Pauillac,France,279.99,,10,2,638,12
709,Tasca d'Almerita,Rosso del Conte Regaleali N.V.,4.0,Blend,Red,N.V.,Contea di Sclafani,Italy,65.99,,10,2,266,19
710,Château Smith Haut-Lafitte,Pessac-Léognan (Grand Cru Classé de Graves) 2011,4.2,Blend,Red,2011,Pessac-Léognan,France,135.0,,10,2,649,12
711,Château Chasse-Spleen,Moulis-en-Médoc 2010,4.0,Blend,Red,2010,Moulis-en-Médoc,France,84.99,,10,2,559,12
712,Staglin,Salus Estate Cabernet Sauvignon N.V.,4.5,Cabernet Sauvignon,Red,N.V.,Rutherford,United States,307.98,,15,2,736,36
713,Azelia,Barolo San Rocco N.V.,4.2,Barolo,Red,N.V.,Barolo,Italy,87.98,,6,2,73,19
714,Patricia Green Cellars,Reserve Pinot Noir N.V.,4.0,Pinot Noir,Red,N.V.,Willamette Valley,United States,28.59,,57,2,945,36
715,Montes,Purple Angel 2015,4.5,Blend,Red,2015,Colchagua Valley,Chile,79.99,,10,2,246,7
716,Joseph Phelps,Insignia 2013,4.6,Blend,Red,2013,Napa Valley,United States,269.99,,10,2,587,36
717,Pasqua,Amarone della Valpolicella 2013,4.1,Valpolicella,Red,2013,Amarone della Valpolicella,Italy,50.99,,86,2,33,19
718,The Hess Collection,Lion Tamer Red N.V.,4.2,Blend,Red,N.V.,Napa Valley,United States,43.99,,10,2,587,36
719,Nin-Ortiz,Planetes de Nin Priorat N.V.,4.0,Blend,Red,N.V.,Priorat,Spain,40.68,,10,2,671,32
720,Domaine du Gour de Chaule,Cuvée Tradition Gigondas N.V.,4.0,Blend,Red,N.V.,Gigondas,France,38.49,,10,2,388,12
721,Viña Cobos,Bramare Cabernet Sauvignon 2015,4.3,Cabernet Sauvignon,Red,2015,Lujan de Cuyo,Argentina,34.99,,15,2,476,0
722,Château Lagrange,Les Fiefs de Lagrange Saint-Julien 2010,3.8,Blend,Red,2010,Saint-Julien,France,64.99,,10,2,752,12
723,Produttori del Barbaresco,Barbaresco Riserva Montestefano N.V.,4.2,Blend,Red,N.V.,Barbaresco,Italy,65.98,,10,2,68,19
724,Stuhlmuller Vineyards,Cabernet Sauvignon N.V.,4.2,Cabernet Sauvignon,Red,N.V.,Alexander Valley,United States,43.99,,15,2,11,36
725,Fattoria del Cerro,Vino Nobile di Montepulciano 2014,3.7,Montepulciano,Red,2014,Vino Nobile di Montepulciano,Italy,40.99,,43,2,911,19
726,Mount Peak,Gravity N.V.,4.3,Blend,Red,N.V.,Sonoma County,United States,42.95,,10,2,804,36
727,The Crane Assembly,Disciples N.V.,4.3,Blend,Red,N.V.,Napa Valley,United States,49.99,,10,2,587,36
728,Jasper Hill,Georgia's Paddock Shiraz N.V.,4.2,Shiraz,Red,N.V.,Heathcote,Australia,76.99,,75,2,409,2
729,Mollydooker,Velvet Glove Shiraz N.V.,4.7,Shiraz,Red,N.V.,McLaren Vale,Australia,174.86,,75,2,503,2
730,Viña Cobos,Bramare Malbec Uco Valley 2016,4.3,Malbec,Red,2016,Uco Valley,Argentina,37.71,,38,2,862,0
731,Zonin,Amarone della Valpolicella 2012,4.0,Valpolicella,Red,2012,Amarone della Valpolicella,Italy,54.99,,86,2,33,19
732,Col d'Orcia,Brunello di Montalcino 2014,3.9,Brunello,Red,2014,Brunello di Montalcino,Italy,49.99,,12,2,120,19
733,Massolino,Margheria Barolo N.V.,4.2,Barolo,Red,N.V.,Barolo,Italy,87.99,,6,2,73,19
734,Valdipiatta,Vino Nobile di Montepulciano N.V.,3.8,Montepulciano,Red,N.V.,Vino Nobile di Montepulciano,Italy,27.49,,43,2,911,19
735,Benjamin de Rothschild - Vega Sicilia,Macán Clásico 2014,4.3,Blend,Red,2014,Rioja,Spain,54.99,,10,2,710,32
736,Whitehall Lane,Merlot N.V.,3.9,Merlot,Red,N.V.,Napa Valley,United States,33.99,,41,2,587,36
737,Paul Jaboulet Aîné,Crozes-Hermitage Les Jalets 2015,3.7,Blend,Red,2015,Crozes-Hermitage,France,25.99,,10,2,293,12
738,Mollydooker,Blue Eyed Boy Shiraz 2016,4.3,Shiraz,Red,2016,Langhorne Creek,Australia,54.99,,75,2,452,2
739,Pietro Sartori,Amarone della Valpolicella N.V.,4.1,Valpolicella,Red,N.V.,Amarone della Valpolicella,Italy,54.99,,86,2,33,19
740,Volker Eisele,Cabernet Sauvignon N.V.,4.1,Cabernet Sauvignon,Red,N.V.,Napa Valley,United States,60.49,,15,2,587,36
741,Marqués de Murrieta,Castillo Ygay Gran Reserva Especial Tinto 2009,4.4,Blend,Red,2009,Rioja,Spain,99.95,,10,2,710,32
742,Xavier Vignon,Arcane XV Le Diable N.V.,4.0,Blend,Red,N.V.,Vin de France,France,25.29,,10,2,906,12
743,Caymus,Cabernet Sauvignon 2018,4.5,Cabernet Sauvignon,Red,2018,Napa Valley,United States,79.05,,15,2,587,36
744,Château Lynch-Bages,Pauillac (Grand Cru Classé) 2005,4.5,Blend,Red,2005,Pauillac,France,199.99,,10,2,638,12
745,Masi,Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2011,4.3,Valpolicella,Red,2011,Amarone della Valpolicella,Italy,69.49,,86,2,33,19
746,Faiveley,Corton Clos des Cortons Faiveley Grand Cru (Monopole) N.V.,4.1,Blend,Red,N.V.,Corton Grand Cru,France,252.99,,10,2,276,12
747,Bressia,Profundo 2014,4.2,Blend,Red,2014,Mendoza,Argentina,40.0,,10,2,507,0
748,Imperial,Rioja Reserva 2015,4.2,Rioja,Red,2015,Rioja,Spain,43.95,,64,2,710,32
749,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2000,4.3,Blend,Red,2000,Pauillac,France,219.99,,10,2,638,12
750,Bouchard Père & Fils,Volnay Premier Cru Caillerets Ancienne Cuvée Carnot N.V.,4.2,Blend,Red,N.V.,Volnay Premier Cru,France,120.99,,10,2,922,12
751,Cantine San Marzano,62 Anniversario Primitivo di Manduria Riserva 2015,4.4,Blend,Red,2015,Primitivo di Manduria,Italy,28.13,,10,2,670,19
752,Marquês de Borba,Tinto 2012,3.4,Blend,Red,2012,Alentejo,Portugal,45.99,,10,2,10,28
753,Beaulieu Vineyard (BV),Napa Valley Cabernet Sauvignon 2015,3.9,Cabernet Sauvignon,Red,2015,Napa Valley,United States,31.99,,15,2,587,36
754,Bodega Contador (Benjamín Romeo),Predicador Rioja 2013,3.9,Rioja,Red,2013,Rioja,Spain,32.99,,64,2,710,32
755,Tooth & Nail,The Possessor (Tolliver Ranch Vineyard) N.V.,4.1,Blend,Red,N.V.,Paso Robles,United States,29.69,,10,2,634,36
756,Antinori,Tenuta Tignanello 'Solaia' 2009,4.7,Blend,Red,2009,Toscana,Italy,423.99,,10,2,849,19
757,Joseph Phelps,Cabernet Sauvignon 2016,4.4,Cabernet Sauvignon,Red,2016,Napa Valley,United States,66.49,,15,2,587,36
758,Giuseppe Rinaldi,Brunate - Le Coste Barolo N.V.,4.5,Barolo,Red,N.V.,Barolo,Italy,263.99,,6,2,73,19
759,Amici,Russian River Valley Pinot Noir N.V.,4.1,Pinot Noir,Red,N.V.,Russian River Valley,United States,43.99,,57,2,735,36
760,Domaine Comte Georges de Vogüé,Bonnes-Mares Grand Cru N.V.,4.4,Blend,Red,N.V.,Bonnes-Mares Grand Cru,France,384.98,,10,2,105,12
761,Le Potazzine,Gorelli Rosso di Montalcino N.V.,3.9,Blend,Red,N.V.,Rosso di Montalcino,Italy,35.19,,10,2,726,19
762,Cantine del Notaio,Il Sigillo Aglianico del Vulture N.V.,4.2,Aglianico,Red,N.V.,Aglianico del Vulture,Italy,65.98,,3,2,5,19
763,Château Poujeaux,Moulis-en-Médoc 2010,4.0,Blend,Red,2010,Moulis-en-Médoc,France,70.95,,10,2,559,12
764,Domaine du Vieux Lazaret,Châteauneuf-du-Pape 2010,4.1,Blend,Red,2010,Châteauneuf-du-Pape,France,81.99,,10,2,231,12
765,Orin Swift,Eight Years In The Desert 2018,4.4,Blend,Red,2018,California,United States,37.89,,10,2,132,36
766,Château d'Armailhac,Pauillac (Grand Cru Classé) 2011,4.0,Blend,Red,2011,Pauillac,France,64.99,,10,2,638,12
767,Louis Jadot,Clos Vougeot Grand Cru N.V.,4.3,Blend,Red,N.V.,Clos Vougeot Grand Cru,France,219.98,,10,2,241,12
768,Château Talbot,Saint-Julien (Grand Cru Classé) 2006,4.1,Blend,Red,2006,Saint-Julien,France,185.0,,10,2,752,12
769,Tenuta Il Poggione,Brunello di Montalcino 2006,4.1,Brunello,Red,2006,Brunello di Montalcino,Italy,102.99,,12,2,120,19
770,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2011,4.3,Blend,Red,2011,Pauillac,France,169.99,,10,2,638,12
771,El Coto,Coto de Imaz Rioja Gran Reserva 2012,4.0,Rioja,Red,2012,Rioja,Spain,32.99,,64,2,710,32
772,Château Chasse-Spleen,Moulis-en-Médoc 2009,4.1,Blend,Red,2009,Moulis-en-Médoc,France,95.0,,10,2,559,12
773,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2010,4.6,Blend,Red,2010,Pauillac,France,279.95,,10,2,638,12
774,Tenuta San Guido,Guidalberto 2017,4.1,Blend,Red,2017,Toscana,Italy,44.95,,10,2,849,19
775,Domaine de Ferrand,Châteauneuf-du-Pape N.V.,4.0,Blend,Red,N.V.,Châteauneuf-du-Pape,France,54.99,,10,2,231,12
776,Château Belgrave,Haut-Médoc (Grand Cru Classé) 2010,4.1,Blend,Red,2010,Haut-Médoc,France,66.99,,10,2,407,12
777,Prunotto,Barolo 2014,3.9,Barolo,Red,2014,Barolo,Italy,49.99,,6,2,73,19
778,Canvasback,Cabernet Sauvignon 2015,4.1,Cabernet Sauvignon,Red,2015,Red Mountain,United States,34.99,,15,2,696,36
779,Virna,Barolo N.V.,3.9,Barolo,Red,N.V.,Langhe,Italy,43.99,,6,2,451,19
780,Susana Balbo,Brioso 2016,4.3,Blend,Red,2016,Agrelo,Argentina,42.98,,10,2,6,0
781,Antinori,Tenuta Tignanello 'Solaia' 2011,4.6,Blend,Red,2011,Toscana,Italy,295.0,,10,2,849,19
782,Vasse Felix,Filius Cabernet Sauvignon N.V.,3.7,Cabernet Sauvignon,Red,N.V.,Margaret River,Australia,25.29,,15,2,494,2
783,Jean-Paul Thévenet,Vieilles Vignes Morgon N.V.,3.9,Blend,Red,N.V.,Morgon,France,41.79,,10,2,553,12
784,Castellare,Chianti Classico Riserva Il Poggiale N.V.,4.1,Chianti,Red,N.V.,Chianti Classico,Italy,40.69,,22,2,224,19
785,Sandhi,Santa Rita Hills Pinot Noir N.V.,4.0,Pinot Noir,Red,N.V.,Sta. Rita Hills,United States,36.29,,57,2,817,36
786,Terre del Barolo,Barolo 2011,3.7,Barolo,Red,2011,Barolo,Italy,29.99,,6,2,73,19
787,O'Shaughnessy,Cabernet Sauvignon Mount Veeder N.V.,4.5,Cabernet Sauvignon,Red,N.V.,Mount Veeder,United States,142.99,,15,2,562,36
788,Numanthia,Numanthia 2014,4.3,Blend,Red,2014,Toro,Spain,59.99,,10,2,848,32
789,Château Rauzan-Ségla,Margaux (Grand Cru Classé) 2006,4.2,Blend,Red,2006,Margaux,France,125.0,,10,2,495,12
790,Château d'Armailhac,Pauillac (Grand Cru Classé) 2009,4.2,Blend,Red,2009,Pauillac,France,159.99,,10,2,638,12
791,Michael David Winery,Earthquake Zinfandel 2015,4.1,Zinfandel,Red,2015,Lodi,United States,27.99,,94,2,467,36
792,Dominus,Dominus (Christian Moueix) 2009,4.5,Blend,Red,2009,Napa Valley,United States,199.99,,10,2,587,36
793,Château d'Arcins,Haut-Médoc 2010,3.6,Blend,Red,2010,Haut-Médoc,France,34.99,,10,2,407,12
794,Dominio do Bibei,Ribeira Sacra Lalama 2014,3.9,Blend,Red,2014,Ribeira Sacra,Spain,29.99,,10,2,704,32
795,Famille Perrin,Châteauneuf-du-Pape Les Sinards Rouge 2017,4.2,Blend,Red,2017,Châteauneuf-du-Pape,France,42.99,,10,2,231,12
796,Xavier Vignon,Arcane XV Le Diable 2015,4.0,Blend,Red,2015,Vin de France,France,25.29,,10,2,906,12
797,Goldeneye,Anderson Valley Pinot Noir 2016,4.3,Pinot Noir,Red,2016,Anderson Valley,United States,39.98,,57,2,39,36
798,Pujanza,Finca Valdepoleo N.V.,3.8,Blend,Red,N.V.,Rioja,Spain,32.98,,10,2,710,32
799,Château de Beaucastel,Châteauneuf-du-Pape 2015,4.4,Blend,Red,2015,Châteauneuf-du-Pape,France,99.99,,10,2,231,12
800,Dominus,Dominus (Christian Moueix) 2011,4.4,Blend,Red,2011,Napa Valley,United States,199.99,,10,2,587,36
801,Stag's Leap Wine Cellars,ARTEMIS Cabernet Sauvignon 2017,4.4,Cabernet Sauvignon,Red,2017,Napa Valley,United States,52.99,,15,2,587,36
802,Gundlach Bundschu,Cabernet Sauvignon N.V.,4.1,Cabernet Sauvignon,Red,N.V.,Sonoma Valley,United States,54.99,,15,2,806,36
803,Honig,Cabernet Sauvignon 2012,4.1,Cabernet Sauvignon,Red,2012,Napa Valley,United States,99.99,,15,2,587,36
804,Valdicava,Brunello di Montalcino 2010,4.5,Brunello,Red,2010,Brunello di Montalcino,Italy,199.99,,12,2,120,19
805,Te Mata,Awatea Cabernets - Merlot N.V.,3.9,Merlot,Red,N.V.,Hawke's Bay,New Zealand,32.99,,41,2,408,25
806,Marchesi di Barolo,Barolo (Tradizione) 2014,4.0,Barolo,Red,2014,Barolo,Italy,53.99,,6,2,73,19
807,Château Clerc Milon,Pauillac (Grand Cru Classé) 2011,4.1,Blend,Red,2011,Pauillac,France,125.0,,10,2,638,12
808,Cavallotto,Barbera d'Alba Superiore Vigna del Cuculo N.V.,3.9,Barbera,Red,N.V.,Barbera d'Alba,Italy,29.68,,5,2,69,19
809,Montevetrano,Core Campania Tinto N.V.,3.8,Blend,Red,N.V.,Campania,Italy,76.98,,10,2,135,19
810,Doubleback,Cabernet Sauvignon N.V.,4.4,Cabernet Sauvignon,Red,N.V.,Walla Walla Valley,United States,120.98,,15,2,933,36
811,R. López de Heredia Viña Tondonia,Viña Cubillo 2009,3.8,Blend,Red,2009,Rioja Alta,Spain,29.99,,10,2,712,32
812,Terra Valentine,Cabernet Sauvignon Napa Valley N.V.,4.0,Cabernet Sauvignon,Red,N.V.,Napa Valley,United States,36.29,,15,2,587,36
813,Château Sociando-Mallet,Haut-Médoc 2010,4.1,Blend,Red,2010,Haut-Médoc,France,77.99,,10,2,407,12
814,Quintessa,Rutherford 2013,4.6,Blend,Red,2013,Rutherford,United States,169.99,,10,2,736,36
815,Numanthia,Termes 2014,4.0,Blend,Red,2014,Toro,Spain,44.99,,10,2,848,32
816,Antinori,Tenuta Guado al Tasso Bolgheri Superiore 2015,4.5,Blend,Red,2015,Bolgheri Superiore,Italy,119.99,,10,2,104,19
817,Château de Beaucastel,Châteauneuf-du-Pape 2012,4.4,Blend,Red,2012,Châteauneuf-du-Pape,France,89.99,,10,2,231,12
818,Casanova di Neri,Brunello di Montalcino 2009,4.2,Brunello,Red,2009,Brunello di Montalcino,Italy,69.99,,12,2,120,19
819,Château Sociando-Mallet,Haut-Médoc 2011,3.9,Blend,Red,2011,Haut-Médoc,France,49.99,,10,2,407,12
820,Zonin,Amarone della Valpolicella 2013,4.1,Valpolicella,Red,2013,Amarone della Valpolicella,Italy,49.49,,86,2,33,19
821,Justin,Isosceles 2015,4.5,Blend,Red,2015,Paso Robles,United States,79.99,,10,2,634,36
822,The Four Graces,Reserve Pinot Noir N.V.,4.0,Pinot Noir,Red,N.V.,Dundee Hills,United States,32.99,,57,2,327,36
823,Tenuta Castiglioni,Toscana 2016,4.1,Blend,Red,2016,Toscana,Italy,29.99,,10,2,849,19
824,Baigorri,Crianza Tempranillo 2015,3.9,Tempranillo,Red,2015,Rioja,Spain,26.99,,83,2,710,32
825,Lapostolle,Clos Apalta Le Petit Clos N.V.,4.2,Blend,Red,N.V.,Central Valley,Chile,43.98,,10,2,157,7
826,Ricasoli,Castello di Brolio Gran Selezione Chianti Classico 2013,4.1,Chianti,Red,2013,Chianti Classico,Italy,54.99,,22,2,224,19
827,Viña Cobos,Bramare Malbec Lujan de Cuyo 2017,4.4,Malbec,Red,2017,Lujan de Cuyo,Argentina,29.98,,38,2,476,0
828,Château Montrose,Saint-Estèphe (Grand Cru Classé) 2007,4.1,Blend,Red,2007,Saint-Estèphe,France,159.99,,10,2,748,12
829,Louis M. Martini,Cabernet Sauvignon 2016,4.1,Cabernet Sauvignon,Red,2016,Napa Valley,United States,32.99,,15,2,587,36
830,Château Chasse-Spleen,Moulis-en-Médoc 2011,3.9,Blend,Red,2011,Moulis-en-Médoc,France,45.0,,10,2,559,12
831,Château Cantemerle,Haut-Médoc (Grand Cru Classé) 2012,3.8,Blend,Red,2012,Haut-Médoc,France,34.99,,10,2,407,12
832,Vietti,Barolo Castiglione 2012,4.1,Barolo,Red,2012,Barolo,Italy,59.99,,6,2,73,19
833,Cheval des Andes,Mendoza 2013,4.4,Blend,Red,2013,Mendoza,Argentina,102.99,,10,2,507,0
834,El Enemigo,Gran Enemigo Single Vineyard Agrelo Cabernet Franc 2013,4.5,Cabernet Franc,Red,2013,Agrelo,Argentina,109.99,,14,2,6,0
835,Château Lascombes,Margaux (Grand Cru Classé) 2009,4.3,Blend,Red,2009,Margaux,France,139.99,,10,2,495,12
836,L'Aventure,Estate Cuvée N.V.,4.4,Blend,Red,N.V.,Paso Robles,United States,102.28,,10,2,634,36
837,Cos d'Estournel,Cos d'Estournel 2005,4.6,Blend,Red,2005,Saint-Estèphe,France,250.0,,10,2,748,12
838,Catena Zapata,Nicolas Catena Zapata 2013,4.2,Blend,Red,2013,Mendoza,Argentina,199.99,,10,2,507,0
839,Groth,Cabernet Sauvignon 2013,4.2,Cabernet Sauvignon,Red,2013,Oakville,United States,74.99,,15,2,611,36
840,Alta Vista,Terroir Selection Malbec 2015,4.0,Malbec,Red,2015,Uco Valley,Argentina,32.99,,38,2,862,0
841,Fisher Vineyards,Unity Cabernet Sauvignon N.V.,4.2,Cabernet Sauvignon,Red,N.V.,Napa County,United States,43.99,,15,2,586,36
