,winery,wine,location,rating,price
62,Bodega Contador (Benjamín Romeo),Contador Rioja 2014,"Spain
·
Rioja",4.6,$399.99
63,Bevan Cellars,Sugarloaf Mountain Vineyard Proprietary Red 2012,"United States
·
Napa Valley",4.7,$399.99
64,Aldo Conterno,Barolo Bussia Granbussia 2005,"Italy
·
Barolo",4.6,$399.99
65,Clos Frantin,Grands-Échézeaux Grand Cru 2012,"France
·
Grands-Échezeaux Grand Cru",4.3,$399.99
66,Quilceda Creek,Cabernet Sauvignon 2005,"United States
·
Columbia Valley",4.6,$399.99
67,Emidio Pepe,Montepulciano d'Abruzzo 1997,"Italy
·
Montepulciano d'Abruzzo",4.4,$399.99
68,Ovid,Red Blend 2012,"United States
·
Napa Valley",4.8,$399.99
69,Giuseppe Rinaldi,Brunate Barolo 2013,"Italy
·
Barolo",4.5,$399.99
70,Poggio di Sotto,Brunello di Montalcino 2009,"Italy
·
Brunello di Montalcino",4.5,$399.99
71,Château La Mission Haut-Brion,Pessac-Léognan (Grand Cru Classé de Graves) 2007,"France
·
Pessac-Léognan",4.4,$399.99
72,Valdicava,Brunello di Montalcino Riserva Madonna del Piano 2010,"Italy
·
Brunello di Montalcino",4.6,$399.99
73,Domaine du Clos de Tart,Clos de Tart Grand Cru Monopole 2014,"France
·
Clos de Tart Grand Cru",4.3,$399.99
74,Dal Forno Romano,Amarone della Valpolicella Monte Lodoletta 2012,"Italy
·
Amarone della Valpolicella",4.7,$399.99
75,Verite,La Joie 2009,"United States
·
Sonoma County",4.6,$399.99
76,Futo,Estate Red 2012,"United States
·
Oakville",4.7,$399.99
77,Château Lynch-Bages,Pauillac (Grand Cru Classé) 1996,"France
·
Pauillac",4.4,$399.99
78,Verite,La Muse 2014,"United States
·
Sonoma County",4.6,$399.99
79,Verite,La Joie 2013,"United States
·
Sonoma County",4.5,$399.99
80,Pierre Damoy,Chapelle-Chambertin Grand Cru 2014,"France
·
Chapelle-Chambertin Grand Cru",4.2,$399.99
81,Paul Hobbs,Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2010,"United States
·
Oakville",4.6,$399.99
82,Bryant Family Vineyard,Bettina Proprietary Red 2010,"United States
·
Napa Valley",4.6,$399.99
83,E. Guigal,Ermitage Ex-Voto 2012,"France
·
Hermitage",4.4,$399.99
84,Lokoya,Howell Mountain Cabernet Sauvignon 2010,"United States
·
Howell Mountain",4.7,$399.99
85,Bond,Vecina 2011,"United States
·
Napa Valley",4.7,$399.97
86,Verite,Le Desir N.V.,"United States
·
Sonoma County",4.5,$399.94
87,Verite,La Muse N.V.,"United States
·
Sonoma County",4.5,$399.94
88,Corison,Kronos Vineyard Cabernet Sauvignon 2013,"United States
·
Napa Valley",4.5,$399
89,E. Guigal,Côte-Rôtie La Landonne 2008,"France
·
Côte-Rôtie",4.5,$398.99
90,Château Figeac,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2009,"France
·
Saint-Émilion Grand Cru",4.4,$395
91,Cos d'Estournel,Cos d'Estournel 2000,"France
·
Saint-Estèphe",4.5,$395
92,Dal Forno Romano,Amarone della Valpolicella Monte Lodoletta 2011,"Italy
·
Amarone della Valpolicella",4.7,$394.99
93,Château Margaux,Pavillon Rouge du Château Margaux 2016,"France
·
Margaux",4.5,$393.99
94,Château Pavie Decesse,Saint-Émilion Grand Cru (Grand Cru Classé) 2010,"France
·
Saint-Émilion Grand Cru",4.3,$393.99
95,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2009,"France
·
Saint-Julien",4.6,$389.99
96,Paul Hobbs,Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2012,"United States
·
Oakville",4.7,$389.99
97,Château Palmer,Margaux (Grand Cru Classé) 2009,"France
·
Margaux",4.6,$389.99
98,Emidio Pepe,Montepulciano d'Abruzzo 2000,"Italy
·
Montepulciano d'Abruzzo",4.2,$385.99
99,Rudd,Oakville Estate Red 2009,"United States
·
Oakville",4.5,$384.99
100,Château Palmer,Margaux (Grand Cru Classé) 2012,"France
·
Margaux",4.5,$384.99
101,Château Cheval Blanc,Le Petit Cheval Saint-Émilion Grand Cru 2010,"France
·
Saint-Émilion Grand Cru",4.5,$384.99
102,Sine Qua Non,Trouver l'Arene Syrah N.V.,"United States
·
Central Coast",4.7,$384.99
103,Dugat-Py,Vieilles Vignes Gevrey-Chambertin 1er Cru 'Champeaux' N.V.,"France
·
Gevrey-Chambertin 1er Cru 'Champeaux'",4.1,$384.98
104,Domaine Comte Georges de Vogüé,Bonnes-Mares Grand Cru 2011,"France
·
Bonnes-Mares Grand Cru",4.4,$384.98
105,Domaine Comte Georges de Vogüé,Bonnes-Mares Grand Cru N.V.,"France
·
Bonnes-Mares Grand Cru",4.4,$384.98
106,M. Chapoutier,Côte-Rôtie La Mordorée 2008,"France
·
Côte-Rôtie",4.3,$383.99
107,Chateau Montelena,The Montelena Estate Cabernet Sauvignon 2007,"United States
·
Calistoga",4.5,$383.99
108,Yalumba,The Caley Cabernet - Shiraz 2012,"Australia
·
South Australia",4.5,$383.99
109,Ovid,Red Blend 2014,"United States
·
Napa Valley",4.6,$379.99
110,Bruno Giacosa,Falletto Barbaresco Asili 2014,"Italy
·
Barbaresco",4.5,$379.99
111,Verite,Le Desir 2015,"United States
·
Sonoma County",4.4,$379.95
112,Château Léoville Las Cases,Saint-Julien (Grand Cru Classé) 2006,"France
·
Saint-Julien",4.4,$378.99
113,Roberto Voerzio,La Serra Barolo 2014,"Italy
·
Barolo",4.1,$378.99
114,Verite,La Joie 2014,"United States
·
Sonoma County",4.4,$378.98
115,Catena Zapata,Adrianna Vineyard Mundus Bacillus Terrae Malbec 2015,"Argentina
·
Tupungato",4.5,$376.99
116,Shafer,Hillside Select Cabernet Sauvignon 1992,"United States
·
Stags Leap District",4.3,$375
117,Paul Hobbs,Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2011,"United States
·
Oakville",4.5,$374.99
118,Château Latour,Les Forts de Latour Pauillac 2012,"France
·
Pauillac",4.3,$374.99
119,Yalumba,The Caley Cabernet - Shiraz 2014,"Australia
·
South Australia",4.5,$372.99
120,Paul Hobbs,Nathan Coombs Estate Cabernet Sauvignon 2014,"United States
·
Coombsville",4.5,$371.99
121,Château Palmer,Margaux (Grand Cru Classé) 2006,"France
·
Margaux",4.5,$368.99
122,Château La Fleur-Pétrus,Pomerol 2008,"France
·
Pomerol",4.4,$367.99
123,Château La Fleur-Pétrus,Pomerol 2006,"France
·
Pomerol",4.5,$367.99
124,Château La Mission Haut-Brion,Pessac-Léognan (Grand Cru Classé de Graves) 2002,"France
·
Pessac-Léognan",4.3,$365.99
125,Artadi,Viña El Pison 2014,"Spain
·
Rioja Alavesa",4.7,$365.99
126,Opus One,Opus One N.V.,"United States
·
Napa Valley",4.6,$364.99
127,Marchesi di Barolo,Barolo Riserva 1990,"Italy
·
Barolo",4.5,$359.99
128,E. Guigal,Ermitage Ex-Voto 2013,"France
·
Hermitage",4.2,$359.99
129,Château Montrose,Saint-Estèphe (Grand Cru Classé) 2009,"France
·
Saint-Estèphe",4.5,$359.99
130,Penfolds,Bin 169 Cabernet Sauvignon 2016,"Australia
·
Coonawarra",4.4,$359.99
131,Domaine du Clos de Tart,Clos de Tart Grand Cru Monopole 2011,"France
·
Clos de Tart Grand Cru",4.5,$359.99
132,Château La Fleur-Pétrus,Pomerol 1995,"France
·
Pomerol",4.5,$359.99
133,Emidio Pepe,Montepulciano d'Abruzzo 2001,"Italy
·
Montepulciano d'Abruzzo",4.3,$359.99
134,Château La Conseillante,Pomerol 2010,"France
·
Pomerol",4.5,$359.99
135,Bodega Contador (Benjamín Romeo),Contador Rioja 2011,"Spain
·
Rioja",4.6,$359.95
136,Roberto Voerzio,La Serra Barolo 2013,"Italy
·
Barolo",4.2,$358.99
137,Roberto Voerzio,Cerequio Barolo 2013,"Italy
·
Barolo",4.5,$358.99
138,Château Pavie Macquin,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2005,"France
·
Saint-Émilion Grand Cru",4.3,$357.99
139,Viñedo Chadwick,Red N.V.,"Chile
·
Maipo Valley",4.6,$357.48
140,Viñedo Chadwick,Red 2016,"Chile
·
Maipo Valley",4.5,$357.48
141,Thierry Allemand,Cornas 'Reynard' 2011,"France
·
Cornas",4.4,$355
142,E. Guigal,Côte-Rôtie La Turque 2014,"France
·
Côte-Rôtie",4.4,$354.99
143,Le Macchiole,Paleo 2015,"Italy
·
Toscana",4.3,$351.99
144,Château l'Eglise-Clinet,Pomerol 2014,"France
·
Pomerol",4.4,$350.99
145,Opus One,Opus One 2015,"United States
·
Napa Valley",4.6,$350
146,Domaine Jean-Louis Chave,L'Hermitage 2016,"France
·
Hermitage",4.8,$350
147,Lokoya,Howell Mountain Cabernet Sauvignon 2012,"United States
·
Howell Mountain",4.7,$349.99
148,Vietti,Barolo Riserva Villero 2010,"Italy
·
Barolo",4.4,$349.99
149,Gaja,Sorì Tildìn (Barbaresco) Langhe 2003,"Italy
·
Langhe",4.6,$349.99
150,Accendo Cellars,Cabernet Sauvignon 2014,"United States
·
Napa Valley",4.6,$349.99
151,Tua Rita,Redigaffi Toscana 2016,"Italy
·
Toscana",4.6,$349.99
152,Lokoya,Howell Mountain Cabernet Sauvignon 2011,"United States
·
Howell Mountain",4.5,$349.99
153,M. Chapoutier,Côte-Rôtie La Mordorée 2012,"France
·
Côte-Rôtie",4.4,$349.99
154,Domaine Jean-Louis Chave,L'Hermitage 2013,"France
·
Hermitage",4.5,$349.99
155,Gaja,Sorì Tildìn (Barbaresco) Langhe 2014,"Italy
·
Langhe",4.6,$349.99
156,Dal Forno Romano,Amarone della Valpolicella Monte Lodoletta 2009,"Italy
·
Amarone della Valpolicella",4.7,$349.99
157,Bruno Giacosa,Falletto Barbaresco Asili 2011,"Italy
·
Barbaresco",4.5,$349.99
158,Château Lafite Rothschild,Carruades de Lafite Pauillac 2016,"France
·
Pauillac",4.2,$349.99
159,Joseph Phelps,Insignia 2011,"United States
·
Napa Valley",4.5,$349.99
160,Antinori,Tenuta Tignanello 'Solaia' 2016,"Italy
·
Toscana",4.6,$349.99
161,Bibi Graetz,Colore Toscana 2012,"Italy
·
Toscana",4.1,$349
162,Château Margaux,Pavillon Rouge du Château Margaux 2014,"France
·
Margaux",4.3,$346.99
163,Dominio del Aguila,Canta la Perdiz 2014,"Spain
·
Ribera del Duero",4.5,$345.99
164,Château Palmer,Historical XIXth Century Wine N.V.,"France
·
Vin de France",4.4,$345
165,Ovid,Hexameter 2014,"United States
·
Napa Valley",4.8,$345
166,Château Angelus,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2015,"France
·
Saint-Émilion Grand Cru",4.6,$345
167,Château de la Tour,Clos Vougeot Grand Cru 2015,"France
·
Clos Vougeot Grand Cru",4.5,$340.99
168,Artadi,Viña El Pison 2012,"Spain
·
Rioja Alavesa",4.5,$339.99
169,Domaine des Perdrix,Echezeaux Grand Cru 2014,"France
·
Échezeaux Grand Cru",4.3,$337.99
170,Château Smith Haut-Lafitte,Pessac-Léognan (Grand Cru Classé de Graves) 2005,"France
·
Pessac-Léognan",4.4,$336.99
171,Ao Yun (敖云葡萄园),Shangri-La (敖云) 2015,,4.1,$335.99
172,Viña Cobos,Cobos Chañares Vineyard Malbec 2016,"Argentina
·
Tunuyán",4.8,$335.99
173,Château Figeac,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2006,"France
·
Saint-Émilion Grand Cru",4.4,$334.99
174,Château La Fleur-Pétrus,Pomerol 2009,"France
·
Pomerol",4.5,$334.99
175,Paul Hobbs,Nathan Coombs Estate Cabernet Sauvignon 2012,"United States
·
Coombsville",4.6,$334.99
176,Fontodi,Flaccianello della Pieve 2016,"Italy
·
Colli della Toscana Centrale",4.5,$329.99
177,Domaine Perrot-Minot,Charmes-Chambertin Grand Cru N.V.,"France
·
Charmes-Chambertin Grand Cru",4.4,$329.99
178,Sine Qua Non,Dirt Vernacular N.V.,"United States
·
Central Coast",4.7,$329.99
179,Domaine Trapet,Chambertin Grand Cru 2013,"France
·
Chambertin Grand Cru",4.4,$329.99
180,Paul Hobbs,Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon 2014,"United States
·
St. Helena",4.7,$329.99
181,Château Canon,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2015,"France
·
Saint-Émilion Grand Cru",4.4,$329.99
182,Amici,Beckstoffer To Kalon Vineyard Cabernet Sauvignon N.V.,"United States
·
Oakville",4.6,$329.98
183,Domaine des Lambrays,Clos des Lambrays Grand Cru N.V.,"France
·
Clos de Lambrays Grand Cru",4.4,$329.98
184,Domaine des Lambrays,Clos des Lambrays Grand Cru 2010,"France
·
Clos de Lambrays Grand Cru",4.4,$329.98
185,Giuseppe Rinaldi,Brunate Barolo 2015,"Italy
·
Barolo",4.4,$329.98
186,Domaine Ponsot,Griotte-Chambertin Grand Cru N.V.,"France
·
Griotte-Chambertin Grand Cru",4.2,$329.98
187,Bouchard Père & Fils,Chambertin-Clos-de-Beze Grand Cru N.V.,"France
·
Chambertin-Clos de Bèze Grand Cru",4.4,$329.98
188,Sine Qua Non,Trouver l'Arene Syrah 2015,"United States
·
Central Coast",4.7,$329.95
189,Opus One,Opus One 2016,"United States
·
Napa Valley",4.6,$327.49
190,Vieux Château Certan,Pomerol 2009,"France
·
Pomerol",4.6,$325
191,Château l'Eglise-Clinet,Pomerol 2012,"France
·
Pomerol",4.4,$325
192,Château Margaux,Pavillon Rouge du Château Margaux 2003,"France
·
Margaux",4.4,$325
193,Tenuta di Trinoro,Toscana Rosso 2016,"Italy
·
Toscana",4.6,$325
194,Domaine Jean-Louis Chave,L'Hermitage 2014,"France
·
Hermitage",4.7,$325
195,Château Montrose,Saint-Estèphe (Grand Cru Classé) 2000,"France
·
Saint-Estèphe",4.4,$325
196,Château Lynch-Bages,Pauillac (Grand Cru Classé) 2009,"France
·
Pauillac",4.4,$325
197,Château Ausone,Chapelle d'Ausone Saint-Émilion Grand Cru 2007,"France
·
Saint-Émilion Grand Cru",4.3,$325
198,Clos Fourtet,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2010,"France
·
Saint-Émilion Grand Cru",4.4,$324.99
199,Sine Qua Non,Male Syrah 2013,"United States
·
California",4.6,$324.99
200,Darioush,Darius II Cabernet Sauvignon 2016,"United States
·
Napa Valley",4.8,$324.99
201,Bodega Contador (Benjamín Romeo),Contador Rioja 2012,"Spain
·
Rioja",4.6,$324.99
202,Roberto Voerzio,Rocche dell'Annunziata Torriglione Barolo 2012,"Italy
·
Barolo",4.4,$323.99
203,Artadi,Viña El Pison 2013,"Spain
·
Rioja Alavesa",4.5,$322.99
204,Roberto Voerzio,Rocche dell'Annunziata Torriglione Barolo 2011,"Italy
·
Barolo",4.4,$322.99
205,Château Canon,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2000,"France
·
Saint-Émilion Grand Cru",4.4,$321.99
206,Ceretto,Barolo Bricco Rocche 2012,"Italy
·
Barolo",3.8,$319.99
207,Ceretto,Barolo Bricco Rocche 2005,"Italy
·
Barolo",4.4,$319.99
208,Ceretto,Barolo Bricco Rocche 2007,"Italy
·
Barolo",4.5,$319.99
209,Ceretto,Barolo Bricco Rocche 2006,"Italy
·
Barolo",4.5,$319.99
210,Ceretto,Barolo Bricco Rocche 2013,"Italy
·
Barolo",4.0,$319.99
211,Gaja,Sperss Langhe 2009,"Italy
·
Langhe",4.6,$319.99
212,Château Montrose,Saint-Estèphe (Grand Cru Classé) 2005,"France
·
Saint-Estèphe",4.3,$319.99
213,Heitz Cellar,Trailside Vineyard Cabernet Sauvignon 2003,"United States
·
Rutherford",4.5,$319.99
214,Robert Groffier,Les Sentiers Chambolle-Musigny 1er Cru 2002,"France
·
Chambolle-Musigny 1er Cru 'Les Sentiers'",4.4,$319.99
215,Ceretto,Barolo Bricco Rocche 2011,"Italy
·
Barolo",4.1,$319.99
216,Château La Fleur-Pétrus,Pomerol 2010,"France
·
Pomerol",4.6,$319.99
217,Château Margaux,Pavillon Rouge du Château Margaux 2015,"France
·
Margaux",4.4,$319.99
218,Poggio di Sotto,Brunello di Montalcino 2013,"Italy
·
Brunello di Montalcino",4.5,$319.99
219,Château La Fleur-Pétrus,Pomerol 2007,"France
·
Pomerol",4.5,$319.99
220,Emidio Pepe,Montepulciano d'Abruzzo 2002,"Italy
·
Montepulciano d'Abruzzo",4.4,$315.99
221,Château Margaux,Pavillon Rouge du Château Margaux 2002,"France
·
Margaux",4.3,$315
222,Dal Forno Romano,Amarone della Valpolicella Monte Lodoletta 2010,"Italy
·
Amarone della Valpolicella",4.7,$315
223,Château Haut-Bailly,Pessac-Léognan 2010,"France
·
Pessac-Léognan",4.3,$313.99
224,Château Smith Haut-Lafitte,Pessac-Léognan (Grand Cru Classé de Graves) 2010,"France
·
Pessac-Léognan",4.4,$312.99
225,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2014,"France
·
Saint-Julien",4.5,$311.99
226,Château Margaux,Pavillon Rouge du Château Margaux 2006,"France
·
Margaux",4.3,$310
227,Clos Saint Jean,Châteauneuf-du-Pape Deus Ex Machina 2005,"France
·
Châteauneuf-du-Pape",4.6,$309.97
228,Alpha Omega,ERA Red N.V.,"United States
·
Napa Valley",4.6,$307.98
229,Dugat-Py,Vieilles Vignes Gevrey-Chambertin 1er Cru 'Petite Chapelle' N.V.,"France
·
Gevrey-Chambertin 1er Cru 'Petite Chapelle'",4.3,$307.98
230,Alpha Omega,ERA Red 2016,"United States
·
Napa Valley",4.6,$307.98
231,Casanova di Neri,Cerretalto Brunello di Montalcino 2012,"Italy
·
Brunello di Montalcino",4.6,$307.95
232,Château Pavie Decesse,Saint-Émilion Grand Cru (Grand Cru Classé) 2005,"France
·
Saint-Émilion Grand Cru",4.7,$306.99
233,Château Léoville Las Cases,Saint-Julien (Grand Cru Classé) 2012,"France
·
Saint-Julien",4.3,$303.99
234,Montes,Taita Marchigüe Vineyard Cabernet Sauvignon 2010,"Chile
·
Colchagua Valley",4.6,$303.99
235,Domaine Drouhin-Laroze,Bonnes Mares Grand Cru 2014,"France
·
Bonnes-Mares Grand Cru",3.9,$300.99
236,Château La Mission Haut-Brion,Pessac-Léognan (Grand Cru Classé de Graves) 1999,"France
·
Pessac-Léognan",4.5,$300
237,Borgogno,Barolo Riserva 1967,"Italy
·
Barolo",4.3,$300
238,Paul Hobbs,Beckstoffer Las Piedras Vineyard Cabernet Sauvignon 2014,"United States
·
St. Helena",4.6,$300
239,Joseph Phelps,Insignia 1994,"United States
·
Napa Valley",4.6,$300
240,Fontanafredda,Barolo 1958,"Italy
·
Barolo",4.3,$300
241,Giuseppe Rinaldi,Tre Tine Barolo 2015,"Italy
·
Barolo",4.5,$300
242,Cliff Lede,Poetry Cabernet Sauvignon 2014,"United States
·
Stags Leap District",4.6,$299.99
243,Bevan Cellars,Red 2013,"United States
·
Napa Valley",4.7,$299.99
244,Domaine Jean Grivot,Echezeaux Grand Cru 2011,"France
·
Grands-Échezeaux Grand Cru",4.5,$299.99
245,Château Le Bon Pasteur,Pomerol 1982,"France
·
Pomerol",4.3,$299.99
246,Joseph Phelps,Insignia 1999,"United States
·
Napa Valley",4.6,$299.99
247,Dalla Valle,Cabernet Sauvignon 2012,"United States
·
Napa Valley",4.6,$299.99
248,Bevan Cellars,Sugarloaf Mountain Vineyard Proprietary Red 2013,"United States
·
Napa Valley",4.8,$299.99
249,Joseph Phelps,Insignia 2012,"United States
·
Napa Valley",4.7,$299.99
250,Roberto Voerzio,Cerequio Barolo 2008,"Italy
·
Barolo",4.5,$299.99
251,Bevan Cellars,Sugarloaf Mountain Vineyard Proprietary Red 2013,"United States
·
Napa Valley",4.8,$299.99
252,Joseph Phelps,Insignia 2012,"United States
·
Napa Valley",4.7,$299.99
253,Mollydooker,Velvet Glove Shiraz 2007,"Australia
·
McLaren Vale",4.7,$299.99
254,Verite,La Muse 2002,"United States
·
Sonoma County",4.6,$299.99
255,Bevan Cellars,Red 2012,"United States
·
Napa Valley",4.6,$299.99
256,Joseph Phelps,Insignia 2009,"United States
·
Napa Valley",4.6,$299.99
257,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2000,"France
·
Saint-Julien",4.5,$299.99
258,Domaine Armand Rousseau,Gevrey-Chambertin 1er Cru Lavaux St. Jacques 2011,"France
·
Gevrey-Chambertin Premier Cru",4.4,$299.99
259,Antinori,Tenuta Tignanello 'Solaia' 2013,"Italy
·
Toscana",4.6,$299.99
260,Château Lafite Rothschild,Carruades de Lafite Pauillac 1996,"France
·
Pauillac",4.4,$299.99
261,Shafer,Hillside Select Cabernet Sauvignon 2013,"United States
·
Stags Leap District",4.7,$299.99
262,Shafer,Hillside Select Cabernet Sauvignon 2009,"United States
·
Stags Leap District",4.6,$299.99
263,Stag's Leap Wine Cellars,CASK 23 Cabernet Sauvignon 2012,"United States
·
Napa Valley",4.7,$299.99
264,Château Léoville Las Cases,Saint-Julien (Grand Cru Classé) 2015,"France
·
Saint-Julien",4.5,$299.99
265,Domaine Anne Gros,Echezeaux Grand Cru Les Loachausses 2012,"France
·
Échezeaux Grand Cru",4.2,$299.99
266,Domaine Anne Gros,Clos-Vougeot Grand Cru Le Grand Maupertui 2013,"France
·
Clos Vougeot Grand Cru",4.2,$299.99
267,Château Latour,Les Forts de Latour Pauillac 2009,"France
·
Pauillac",4.5,$299.99
