,winery,wine,location,rating,price
934,Hugel,Estate Riesling 2013,"France
·
Alsace",3.9,$47.99
935,Three Sticks,Durell Vineyard Chardonnay 2015,"United States
·
Sonoma Valley",4.3,$47.99
936,St. Michael-Eppan,Sanct Valentin Pinot Grigio 2017,"Italy
·
Südtirol - Alto Adige",4.2,$47.99
937,St. Michael-Eppan,Sanct Valentin Gewürztraminer 2018,"Italy
·
Südtirol - Alto Adige",4.3,$47.99
938,Liquid Farm,Chardonnay White Hill 2016,"United States
·
Sta. Rita Hills",4.1,$47.99
939,Wine & Soul,Douro Guru Branco 2018,"Portugal
·
Douro",4.3,$47.99
940,La Taille Aux Loups,Clos de Mosny 2017,"France
·
Montlouis-sur-Loire",4.2,$47.99
941,DeLille Cellars,Roussanne 2015,"United States
·
Red Mountain",3.7,$47.99
942,Finca La Emperatriz,Cepas Viejas Viura 2012,"Spain
·
Rioja Alta",3.8,$47.99
943,Failla,Hudson Vineyard Chardonnay 2016,"United States
·
Napa Valley",4.2,$47.99
944,Finca La Emperatriz,Cepas Viejas Viura 2014,"Spain
·
Rioja Alta",4.0,$47.99
945,Doro Princic,Friulano 2017,"Italy
·
Collio",4.1,$47.99
946,Battenfeld Spanier,Frauenberg Riesling GG 2013,"Germany
·
Rheinhessen",4.1,$47.99
947,Alma Fria,Plural Chardonnay 2014,"United States
·
Sonoma Coast",4.1,$47.99
948,Herencia Altés,La Serra Blanc 2016,"Spain
·
Terra Alta",4.2,$47.99
949,Cakebread,Chardonnay 2016,"United States
·
Napa Valley",4.2,$47.99
950,Billaud-Simon,Chablis Tête d'Or 2016,"France
·
Chablis",4.0,$47.99
951,Pacherhof,Alte Reben Sylvaner 2017,"Italy
·
Südtirol - Alto Adige",4.2,$47.99
952,Paul Prieur & Fils,Monts Damnes Sancerre 2017,"France
·
Sancerre",4.4,$47.99
953,Deux Montille,Montagny 1er Cru 'Les Coères' 2016,"France
·
Montagny 1er Cru 'Les Coeres'",4.2,$47.99
954,Flowers,Sonoma Coast Chardonnay 2015,"United States
·
Sonoma Coast",4.2,$47.99
955,Pierre Sparr,Riesling Alsace Grand Cru 'Schoenenbourg' 2015,"France
·
Alsace Grand Cru 'Schoenenbourg'",3.9,$47.99
956,Domaine Vocoret et Fils,Les Vaillons Chablis 1er Cru 2017,"France
·
Chablis 1er Cru 'Vaillons'",4.1,$47.99
957,Domaine Vrignaud,Chablis 1er Cru Fourchaume 2015,"France
·
Chablis 1er Cru 'Fourchaume'",3.7,$47.99
958,Yardstick,Raised by Wolves La Colline Semillon 2017,"South Africa
·
Franschhoek",4.1,$47.99
959,Neumeister,Sauvignon Blanc Steirische Klassik 2017,"Austria
·
Südoststeiermark",3.7,$47.99
960,Domaine Zind Humbrecht,Gewürztraminer Calcaire 2015,"France
·
Alsace",3.7,$47.99
961,Antoine Arena,Bianco Gentile 2016,"France
·
Vin de France",4.3,$47.99
962,Pewsey Vale,The Contours (Museum Reserve) Riesling 2008,"Australia
·
Eden Valley",3.7,$47.99
963,Inglenook,Blancaneaux 2016,"United States
·
Rutherford",4.0,$47.99
964,Damilano,Chardonnay 2015,"Italy
·
Langhe",4.3,$47.99
965,Doro Princic,Pinot Bianco 2017,"Italy
·
Collio",3.8,$47.99
966,Doro Princic,Sauvignon 2017,"Italy
·
Collio",4.2,$47.99
967,St. Michael-Eppan,Sanct Valentin Weissburgunder (Pinot Bianco) 2016,"Italy
·
Südtirol - Alto Adige",4.1,$47.99
968,Château Carbonnieux,Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2016,"France
·
Pessac-Léognan",4.1,$47.99
969,Meyer-Fonné,Riesling 'Pfoeller' 2012,"France
·
Alsace",4.1,$47.99
970,Giesen,Single Vineyard Fuder Dillons Point Sauvignon Blanc 2013,"New Zealand
·
Marlborough",3.6,$47.99
971,Long Meadow Ranch,Chardonnay 2015,"United States
·
Anderson Valley",4.0,$47.99
972,Heinrich,Neuburger Freyheit 2016,"Austria
·
Bergland",3.7,$47.99
973,Lail Vineyards,Blueprint Sauvignon Blanc 2016,"United States
·
Napa Valley",4.3,$47.99
974,Château Mont-Redon,Châteauneuf-du-Pape Blanc 2014,"France
·
Châteauneuf-du-Pape",4.0,$47.99
975,The Hilt,The Old Guard Chardonnay 2015,"United States
·
Santa Barbara County",4.0,$47.99
976,Wittmann,Westhofener Riesling Trocken 2018,"Germany
·
Rheinhessen",3.8,$47.99
977,Samuel Billaud,Chablis 1er Cru 'Montee de Tonnerre' (Les Grands Terroirs) 2017,"France
·
Chablis 1er Cru 'Montee de Tonnerre'",4.4,$47.65
978,Peter Lauer,Faß 15 Stirn Ayler Kupp 2016,"Germany
·
Mosel",4.1,$47.29
979,Peter Lauer,Faß 15 Stirn Ayler Kupp N.V.,"Germany
·
Mosel",4.1,$47.29
980,Forjas del Salnés,Leirana Finca Genoveva Albariño 2018,"Spain
·
Rías Baixas",4.2,$47
981,Domaine de la Tournelle,Fleur de Savagnin 2016,"France
·
Arbois",4.1,$47
982,La Taille Aux Loups,Les Hauts de Husseau 2017,"France
·
Montlouis-sur-Loire",3.9,$46.99
983,Nickel & Nickel,Truchard Vineyard Chardonnay 2016,"United States
·
Los Carneros",4.3,$46.99
984,Sixto,Moxee Chardonnay 2014,"United States
·
Washington",4.2,$46.99
985,John Duval,Plexus White 2017,"Australia
·
Barossa Valley",4.0,$46.99
986,Château Prieuré-Lichine,Bordeaux Le Blanc 2018,"France
·
Bordeaux",4.3,$46.99
987,Joh. Jos. Prüm,Graacher Himmelreich Riesling Spätlese 2017,"Germany
·
Graach",4.2,$46.99
988,Weingut Reinhold Haart,Grafenberg GG 2016,"Germany
·
Mosel",3.8,$46.99
989,Caraccioli Cellars,Chardonnay N.V.,"United States
·
Santa Lucia Highlands",3.7,$46.99
990,Kumeu River,Coddington Chardonnay 2015,"New Zealand
·
Kumeu",4.0,$46.99
991,Villa Maria,Taylors Pass Vineyard Chardonnay 2016,"New Zealand
·
Marlborough",3.7,$46.99
992,Domaine du Castel,Blanc du Castel 2018,"Israel
·
Jerusalem",4.3,$46.99
993,Paolo Bea,Santa Chiara Umbria Bianco 2016,"Italy
·
Umbria",4.4,$46.95
994,White Rock Vineyards,Chardonnay 2014,"United States
·
Napa Valley",4.2,$46.95
995,Pahlmeyer,Jayson Chardonnay N.V.,"United States
·
North Coast",4.3,$46.94
996,Migration,Russian River Valley Chardonnay 2016,"United States
·
Russian River Valley",4.1,$45.99
997,Bret Brothers & The Soufrandière,"Saint-Véran ""La Combe DesRoches"" 2016","France
·
Saint-Véran",3.8,$45.99
998,Villa Sparina,Monterotondo 2016,"Italy
·
Piemonte",3.7,$45.99
999,Au Bon Climat,Chardonnay Nuits-Blanches au Bouge Peerless 2015,"United States
·
Santa Maria Valley",4.1,$45.99
1000,Viñátigo,Elaboraciones Ancestrales Blanco 2017,"Spain
·
Islas Canarias",4.1,$45.99
1001,Albert Boxler,Riesling 2016,"France
·
Alsace",3.9,$45.99
1002,La Taille Aux Loups,Cuvée Parcellaire Monopole Bretonniere 2017,"France
·
Vin de France",4.0,$45.99
1003,Cakebread,Chardonnay 2017,"United States
·
Napa Valley",4.2,$45.99
1004,Domaine Long Depaquit,Chablis Premier Cru 'Les Vaillons' 2017,"France
·
Chablis 1er Cru 'Vaillons'",4.1,$45.99
1005,Chappellet,Grower Collection Calesa Vineyard Five Blocks Chardonnay 2017,"United States
·
Petaluma Gap",4.1,$45.99
1006,Trimbach,Pinot Gris Alsace Réserve Personnelle 2014,"France
·
Alsace",3.9,$45.99
1007,Castello Pomino,Benefizio Riserva Pomino Bianco 2017,"Italy
·
Pomino",4.1,$45.99
