,winery,wine,location,rating,price
63,Leclerc Briant,Blanc de Meuniers Zéro Brut Champagne Premier Cru N.V.,"France
·
Champagne Premier Cru",4.2,$189.99
64,Billecart-Salmon,Blanc de Blancs Brut Champagne Grand Cru 2004,"France
·
Champagne Grand Cru",4.5,$189.98
65,Vilmart & Cie,Cœur de Cuvée Champagne Premier Cru 2011,"France
·
Champagne Premier Cru",4.3,$183.99
66,Deutz,Cuvée William Deutz Millesimé Brut Champagne 2009,"France
·
Champagne",4.5,$180.99
67,Deutz,Cuvée William Deutz Millesimé Brut Champagne 2006,"France
·
Champagne",4.4,$180.99
68,Gaston Chiquet,Blanc de Blancs Brut Champagne Grand Cru 'Aÿ' 2005,"France
·
Champagne Grand Cru 'Aÿ'",4.2,$179.99
69,Leclerc Briant,La Croisette Brut Champagne N.V.,"France
·
Champagne",4.2,$179.99
70,Dom Pérignon,Brut Champagne N.V.,"France
·
Champagne",4.6,$179.94
71,Schramsberg,J. Schram Brut Rosé 2010,"United States
·
North Coast",4.7,$177.99
72,Larmandier-Bernier,Les Chemins Champagne Grand Cru 'Avize' 2012,"France
·
Champagne Grand Cru 'Avize'",4.3,$170.99
73,Ruinart,Blanc de Blancs Brut Champagne 2006,"France
·
Champagne",4.3,$169.99
74,Perrier-Jouët,Fleur de Champagne 2012,"France
·
Champagne",4.4,$169.99
75,Taittinger,Comtes de Champagne Blanc de Blancs 2007,"France
·
Champagne",4.5,$169.99
76,Ruinart,Dom Ruinart Blanc de Blancs Brut Champagne 2007,"France
·
Champagne",4.5,$169.99
77,Dom Pérignon,Brut Champagne 2008,"France
·
Champagne",4.6,$169.99
78,Veuve Clicquot,La Grande Dame Brut Champagne N.V.,"France
·
Champagne",4.5,$169.90
79,Bollinger,La Côte Aux Enfants (Aÿ Rouge) 2013,"France
·
Coteaux Champenois",4.0,$164.99
80,Vve Fourny & Fils,Cuvée du Clos Notre Dame Brut Champagne Premier Cru 2007,"France
·
Champagne Premier Cru",4.4,$164.98
81,Vve Fourny & Fils,Cuvée du Clos Notre Dame Brut Champagne Premier Cru N.V.,"France
·
Champagne Premier Cru",4.4,$164.98
82,Veuve Clicquot,La Grande Dame Brut Champagne 2006,"France
·
Champagne",4.5,$159.99
83,Krug,Grande Cuvée Brut Champagne N.V.,"France
·
Champagne",4.6,$159.99
84,Dom Pérignon,Brut Champagne 2009,"France
·
Champagne",4.5,$159.98
85,Perrier-Jouët,Belle Epoque Brut Champagne 2011,"France
·
Champagne",4.4,$159.95
86,Pol Roger,Blanc de Blancs Champagne (Extra Cuvée de Réserve) 2002,"France
·
Champagne",4.4,$155.99
87,Drappier,Grande Sendrée Brut Rosé Champagne 2010,"France
·
Champagne",4.3,$153.99
88,Pierre Gimonnet & Fils,Special Club Brut Champagne Grand Cru 'Cramant' 2012,"France
·
Champagne Grand Cru 'Cramant'",4.1,$150
89,Egly-Ouriet,Blanc de Noirs Brut Champagne Grand Cru 'Ambonnay' N.V.,"France
·
Champagne Grand Cru 'Ambonnay'",4.4,$149.99
90,Perrier-Jouët,Belle Epoque Brut Champagne N.V.,"France
·
Champagne",4.4,$149.99
91,Boizel,Joyau de France Brut Champagne 2000,"France
·
Champagne",4.3,$149.99
92,Ferrari,'Giulio Ferrari' Riserva del Fondatore 2006,"Italy
·
Trento",4.5,$149.99
93,Billecart-Salmon,Blanc de Blancs Brut Champagne Grand Cru 1998,"France
·
Champagne Grand Cru",4.6,$149.99
94,Bollinger,La Grande Année Brut Champagne 2008,"France
·
Champagne",4.5,$149.99
95,Ferrari,'Giulio Ferrari' Riserva del Fondatore 2005,"Italy
·
Trento",4.5,$149.99
96,Geoffroy,Terre Millésime Extra Brut Champagne Premier Cru 2006,"France
·
Champagne Premier Cru",4.3,$149.99
97,Philipponnat,Cuvée 1522 Brut Champagne Grand Cru 2008,"France
·
Champagne Grand Cru",4.0,$149.99
98,Piper-Heidsieck,Rare Brut Champagne (Millesimé) 2006,"France
·
Champagne",4.4,$149.95
99,Laurent-Perrier,Grand Siècle Champagne (Grande Cuvée) N.V.,"France
·
Champagne",4.5,$144.99
100,Domaine Carneros,Le Rêve Blanc de Blancs 2012,"United States
·
Los Carneros",4.6,$143.99
101,Ca' del Bosco,Cuvée Annamaria Clementi Rosé (Extra Brut) 2009,"Italy
·
Franciacorta",4.5,$143.99
102,Billecart-Salmon,Vintage Champagne N.V.,"France
·
Champagne",4.2,$142.99
103,Billecart-Salmon,Vintage Champagne 2004,"France
·
Champagne",4.2,$142.99
104,Nicolas Feuillatte,Palmes d'Or Vintage Brut Champagne 2002,"France
·
Champagne",4.4,$139.99
105,Pommery,Cuvée Louise Brut Champagne 2004,"France
·
Champagne",4.4,$139.99
106,Pol Roger,Blanc de Blancs Champagne (Extra Cuvée de Réserve) 2008,"France
·
Champagne",4.2,$139.98
107,Charles Heidsieck,Brut Millésime Rosé Champagne 2005,"France
·
Champagne",4.3,$139
108,Larmandier-Bernier,Vieille Vigne du Levant Champagne Grand Cru 2010,"France
·
Champagne Grand Cru",4.5,$136.99
109,Larmandier-Bernier,Vieille Vigne du Levant Champagne Grand Cru 2009,"France
·
Champagne Grand Cru",4.4,$135.99
110,Ferrari,'Giulio Ferrari' Riserva del Fondatore 2007,"Italy
·
Trento",4.5,$134.99
111,Schramsberg,Reserve 2009,"United States
·
North Coast",4.5,$134.99
112,Pommery,Brut Apanage Rosé Champagne N.V.,"France
·
Champagne",4.0,$133.99
113,Thienot,Cuvée Alain Thienot Champagne 2002,"France
·
Champagne",4.3,$132.99
114,Thienot,Cuvée Garance Blanc de Rouges Champagne 2007,"France
·
Champagne",4.0,$132.99
115,Thienot,Cuvée Stanislas Blanc de Blancs Champagne 2005,"France
·
Champagne",4.1,$132.99
116,Leclerc Briant,Cuvée Divine Brut Champagne N.V.,"France
·
Champagne",4.2,$132.99
117,Alfred Gratien,Cuvée Paradis Brut Rosé Champagne N.V.,"France
·
Champagne",4.2,$132.99
118,Alfred Gratien,Cuvée Paradis Brut Champagne N.V.,"France
·
Champagne",4.2,$132.99
119,Gonet-Médeville,Cuvée Théophile Extra Brut Champagne Grand Cru 2006,"France
·
Champagne Grand Cru",4.2,$130.99
120,Gonet-Médeville,Champ d'Alouette Extra Brut Champagne Grand Cru 'Le Mesnil-sur-Oger' 2004,"France
·
Champagne Grand Cru 'Le Mesnil-sur-Oger'",4.2,$130.99
121,Schramsberg,J. Schram Brut 2007,"United States
·
North Coast",4.5,$129.99
122,Vilmart & Cie,Grand Cellier d'Or Brut Champagne Premier Cru 2013,"France
·
Champagne Premier Cru",4.2,$129.99
123,Vilmart & Cie,Cœur de Cuvée Champagne Premier Cru 2007,"France
·
Champagne Premier Cru",4.2,$129.99
124,Veuve Clicquot,La Grande Dame Brut Champagne 2008,"France
·
Champagne",4.4,$129.99
125,Taittinger,Comtes de Champagne Blanc de Blancs 2005,"France
·
Champagne",4.5,$129.99
126,Perrier-Jouët,Belle Epoque Brut Champagne 2012,"France
·
Champagne",4.3,$129
127,Vollereaux,Cuvée Marguerite Champagne 2008,"France
·
Champagne",4.1,$128.99
128,Vilmart & Cie,Grand Cellier d'Or Brut Champagne Premier Cru 2014,"France
·
Champagne Premier Cru",4.1,$128.99
129,Delamotte,Blanc de Blancs Brut Millésimé Champagne Grand Cru 'Le Mesnil-sur-Oger' 2012,"France
·
Champagne Grand Cru 'Le Mesnil-sur-Oger'",4.1,$127.99
130,Andre Clouet,Un Jour de 1911 Brut Champagne Grand Cru 'Bouzy' 1911,"France
·
Champagne Grand Cru 'Bouzy'",4.4,$125
131,Lanson,Noble Cuvée Brut Champagne 2000,"France
·
Champagne",4.2,$124.99
132,Louis Roederer,Brut Nature Champagne (Philippe Starck) 2012,"France
·
Champagne",4.0,$121.99
133,Palmer & Co.,Vintage Champagne 2009,"France
·
Champagne",3.9,$119.99
134,Schramsberg,J. Schram Brut 2010,"United States
·
North Coast",4.5,$119.99
135,Nicolas Feuillatte,Palmes d'Or Vintage Brut Champagne N.V.,"France
·
Champagne",4.3,$119.99
136,Lanson,Extra Age Brut Blanc de Blancs Champagne N.V.,"France
·
Champagne",4.1,$119.99
137,Pol Roger,Rosé Brut Champagne (Extra Cuvée de Réserve) 2006,"France
·
Champagne",4.2,$119.99
138,Tarlant,La Matinale Prestige Millésimé Champagne 2003,"France
·
Champagne",4.2,$119.99
139,Pol Roger,Brut Champagne (Extra Cuvée de Réserve) 2012,"France
·
Champagne",4.3,$119.99
140,Nicolas Feuillatte,Palmes d'Or Vintage Brut Champagne 2006,"France
·
Champagne",4.3,$119.99
141,Pol Roger,Réserve Brut Champagne 2009,"France
·
Champagne",4.0,$119.99
142,Gosset,Grand Blanc de Noirs Extra-Brut Champagne N.V.,"France
·
Champagne",4.2,$119.99
143,Nicolas Feuillatte,Palmes d'Or Vintage Brut Champagne 1998,"France
·
Champagne",4.3,$119.99
144,Beau Joie,Brut Rosé Champagne (Special Cuvée) N.V.,"France
·
Champagne",4.3,$119.99
145,Egly-Ouriet,Rosé Brut Champagne Grand Cru 'Ambonnay' N.V.,"France
·
Champagne Grand Cru 'Ambonnay'",4.3,$119.99
146,Drappier,Grande Sendrée Champagne Brut 2009,"France
·
Champagne",4.3,$119
147,Bollinger,La Grande Année Brut Champagne 2004,"France
·
Champagne",4.5,$118.99
148,Delamotte,Blanc de Blancs Brut Millésimé Champagne Grand Cru 'Le Mesnil-sur-Oger' 2007,"France
·
Champagne Grand Cru 'Le Mesnil-sur-Oger'",4.1,$118.99
149,Louis Roederer,Blanc de Blancs Brut Champagne (Vintage) 2011,"France
·
Champagne",4.2,$117.99
150,Ulysse Collin,Les Maillons Blanc de Noirs Extra Brut Champagne N.V.,"France
·
Champagne",4.3,$115
151,Charles Heidsieck,Millesimé Brut Champagne 2008,"France
·
Champagne",4.3,$115
152,Pol Roger,Rosé Brut Champagne (Extra Cuvée de Réserve) 2009,"France
·
Champagne",4.1,$114.99
153,Nomine-Renard,Special Club Brut Champagne 2012,"France
·
Champagne",3.9,$112.99
154,Ca' del Bosco,Cuvée Annamaria Clementi (Extra Brut) 2010,"Italy
·
Franciacorta",4.5,$111.99
155,Marc Hébrart,Spécial Club Brut Champagne Premier Cru 2014,"France
·
Champagne Premier Cru",4.2,$110
