,winery,wine,location,rating,price
65,Castello del Poggio,Moscato d'Asti N.V.,"Italy
·
Moscato d'Asti",4.3,$10.99
66,Ayala,Brut Majeur Aÿ Champagne N.V.,"France
·
Champagne",3.8,$32.99
67,Riondo,Prosecco Spago Nero N.V.,"Italy
·
Prosecco",3.9,$11.98
68,Gramona,Cava Imperial Gran Reserva Brut N.V.,"Spain
·
Catalunya",4.0,$32.99
69,Heidsieck & Co. Monopole,Blue Top Brut Champagne N.V.,"France
·
Champagne",3.7,$29.96
70,Zonin,Prosecco N.V.,"Italy
·
Prosecco",3.5,$11.99
71,Banfi,Rosa Regale N.V.,"Italy
·
Brachetto d'Acqui",4.1,$14.64
72,Dom Pérignon,Brut Champagne 2008,"France
·
Champagne",4.6,$169.99
73,Bruno Paillard,Première Cuvée Brut Champagne N.V.,"France
·
Champagne",4.1,$54.98
74,Anna de Codorniu,Brut N.V.,"Spain
·
Cava",3.4,$13.99
75,Sieur d'Arques,Aimery Crémant de Limoux Grande Cuvée 1531 N.V.,"France
·
Crémant de Limoux",3.8,$16.99
76,Laurent-Perrier,Grand Siècle Champagne (Grande Cuvée) N.V.,"France
·
Champagne",4.5,$144.99
77,Barons de Rothschild (Lafite),Brut Champagne N.V.,"France
·
Champagne",4.1,$49.99
78,Schramsberg,Blanc de Blancs Brut N.V.,"United States
·
North Coast",4.1,$29.99
79,Delamotte,Brut Champagne Grand Cru 'Le Mesnil-sur-Oger' N.V.,"France
·
Champagne Grand Cru 'Le Mesnil-sur-Oger'",3.9,$49.99
80,Veuve du Vernay,Brut N.V.,"France
·
Beaune",3.6,$10.98
81,Taittinger,Cuvée Prestige Brut Champagne N.V.,"France
·
Champagne",4.1,$38.99
82,Nino Franco,Rustico Valdobbiadene Prosecco Superiore N.V.,"Italy
·
Conegliano-Valdobbiadene Prosecco",3.8,$15.99
83,Cupcake,Moscato d'Asti N.V.,"Italy
·
Moscato d'Asti",4.2,$10.99
84,Gosset,Brut Excellence Aÿ Champagne N.V.,"France
·
Champagne",3.9,$39.99
85,Mionetto,Prosecco Valdobbiadene Superiore N.V.,"Italy
·
Conegliano-Valdobbiadene Prosecco",3.7,$19.99
86,Palmer & Co.,Brut Réserve Champagne N.V.,"France
·
Champagne",3.8,$39.94
87,Henkell,Trocken Dry-Sec N.V.,"Germany
·
German Wine",3.3,$11.99
88,Pierre Peters,Cuvée de Réserve Blanc de Blancs Brut Champagne Grand Cru 'Le Mesnil-sur-Oger' N.V.,"France
·
Champagne Grand Cru 'Le Mesnil-sur-Oger'",4.0,$59.99
89,Chandon,Brut Classic N.V.,"United States
·
California",3.6,$17.99
90,Gancia,Prosecco N.V.,"Italy
·
Prosecco",3.6,$10.94
91,Drappier,Pinot Noir Brut Nature Champagne N.V.,"France
·
Champagne",4.1,$47.99
92,Deutz,Rosé Brut Champagne N.V.,"France
·
Champagne",4.1,$61.94
93,Villa Sandi,Prosecco Il Fresco Spumante N.V.,"Italy
·
Prosecco di Treviso",3.6,$12.99
94,Bottega,Petalo Moscato Il Vino Dell'Amore N.V.,"Italy
·
Veneto",3.9,$17.99
95,Roederer Estate,Brut N.V.,"United States
·
Anderson Valley",3.9,$19.99
96,Raventos I Blanc,Cava de Nit Rosado N.V.,"Spain
·
Cava",4.0,$23.99
97,Veuve Clicquot,Demi-Sec Champagne N.V.,"France
·
Champagne",4.2,$54.98
98,Andre Clouet,Brut Nature Silver Champagne Grand Cru 'Bouzy' N.V.,"France
·
Champagne Grand Cru 'Bouzy'",3.8,$60
99,Risata,Moscato d'Asti N.V.,"Italy
·
Moscato d'Asti",4.2,$14.99
100,Joseph Perrier,Brut Champagne (Cuvée Royale) N.V.,"France
·
Champagne",3.8,$52.99
101,Vve Fourny & Fils,Blanc de Blancs Vertus Brut Champagne Premier Cru N.V.,"France
·
Champagne Premier Cru",4.0,$55.99
102,Bellavista,Alma Cuvée Brut N.V.,"Italy
·
Franciacorta",3.9,$36.99
103,Piper-Heidsieck,Rosé Sauvage Brut Champagne N.V.,"France
·
Champagne",3.8,$59.99
