,winery,wine,location,rating,price
64,Krohn,10 Years Old Tawny Porto N.V.,"Portugal
·
Porto",3.8,$28.99
65,Messias,Quinta do Cachão LBV Port N.V.,"Portugal
·
Porto",3.8,$29.99
66,Gonzalez-Byass,Viña AB Amontillado Seco N.V.,"Spain
·
Jerez-Xérès-Sherry",3.7,$27.99
67,Bodegas Tradición,Amontillado Tradición Vors 30 Years N.V.,"Spain
·
Amontillado Sherry",4.3,$99.99
68,Lustau,Emilín Moscatel Sherry (Solera Reserva) N.V.,"Spain
·
Jerez-Xérès-Sherry",4.0,$34.99
69,Hidalgo (La Gitana),Manzanilla Pasada Pastrana N.V.,"Spain
·
Manzanilla",3.7,$34.99
70,Heitz Cellar,Ink Grade Port N.V.,"United States
·
Napa Valley",4.2,$41.99
71,W. & J. Graham's,10 Year Old Tawny Port 2010,"Portugal
·
Porto",4.1,$29.99
72,Dow's,Late Bottled Vintage Port 2012,"Portugal
·
Porto",3.7,$29.99
73,Sandeman,30 Years Old Tawny Porto N.V.,"Portugal
·
Porto",4.5,$109.99
74,W. & J. Graham's,Vintage Port 2000,"Portugal
·
Porto",4.4,$107.99
75,Lustau,Península Palo Cortado Sherry (Solera Reserva) N.V.,"Spain
·
Jerez-Xérès-Sherry",3.9,$27.99
76,Quinta da Romaneira,Tawny Port 10 Year Old N.V.,"Portugal
·
Porto",4.0,$28.99
77,Sandeman,40 Years Old Tawny Porto N.V.,"Portugal
·
Porto",4.6,$159.99
78,W. & J. Graham's,Quinta dos Malvedos Vintage Port 2004,"Portugal
·
Porto",4.2,$49.99
79,Burmester,White Porto N.V.,"Portugal
·
Porto",3.6,$25.99
80,Taylor's,Vintage Port 2003,"Portugal
·
Porto",4.5,$149.99
81,W. & J. Graham's,Vintage Port 1983,"Portugal
·
Porto",4.4,$188.99
82,Blandy's,5 Year Old Bual Madeira (Medium Rich) N.V.,"Portugal
·
Bual Madeira",3.8,$26.99
83,Marco de Bartoli,Marsala Superiore Riserva 10 Anni N.V.,"Italy
·
Marsala",4.2,$69.99
84,Castello d'Alba,Porto 10 Years Old N.V.,"Portugal
·
Porto",3.9,$29.99
85,Henriques & Henriques,Sercial 10 Years Old Madeira N.V.,"Portugal
·
Madeira",4.0,$59.99
86,W. & J. Graham's,Late Bottled Vintage Port 2014,"Portugal
·
Porto",3.9,$25.99
87,Emilio Hidalgo,La Panesa Especial Fino N.V.,"Spain
·
Fino Sherry",4.0,$69.99
88,W. & J. Graham's,Vintage Port 1994,"Portugal
·
Porto",4.3,$99.99
89,Taylor's,Vintage Port 2011,"Portugal
·
Porto",4.5,$99.99
90,Rare Wine Co.,Boston Bual (Special Reserve) N.V.,"Portugal
·
Madeira",4.2,$55.99
91,W. & J. Graham's,Single Harvest Tawny Port 1972,"Portugal
·
Porto",4.8,$399.99
92,Quinta do Crasto,Late Bottled Vintage Port 2013,"Portugal
·
Porto",4.0,$28.99
93,Barbadillo,Obispo Gascon Palo Cortado Sherry N.V.,"Spain
·
Palo Cortado Sherry",3.9,$51.99
94,Dow's,30 Years Old Tawny Port N.V.,"Portugal
·
Porto",4.5,$116.99
95,Warre's,Late Bottled Vintage Port 2002,"Portugal
·
Porto",4.2,$33.99
96,Rare Wine Co.,New York Malmsey (Special Reserve) N.V.,"Portugal
·
Madeira",4.2,$69.99
97,Taylor's,Vintage Port 1994,"Portugal
·
Porto",4.7,$410.99
98,Barbadillo,Príncipe Amontillado Sherry N.V.,"Spain
·
Amontillado Sherry",3.8,$45.99
99,Vieira de Sousa,10 Anos White Port N.V.,"Portugal
·
Porto",4.0,$29
100,Dow's,Vintage Port 1994,"Portugal
·
Porto",4.5,$119.99
101,Lustau,San Emilio Pedro Ximenez N.V.,"Spain
·
Jerez-Xérès-Sherry",4.1,$31.99
102,Ramos Pinto,Late Bottled Vintage Port 2013,"Portugal
·
Porto",4.0,$25.29
103,Wine & Soul,Pintas 10 Years Old Tawny Port N.V.,"Portugal
·
Porto",4.0,$52.99
104,Taylor's,Quinta de Vargellas Vintage Port 2005,"Portugal
·
Porto",4.3,$59.99
105,Dow's,Vintage Port 1977,"Portugal
·
Porto",4.5,$143.99
106,Emilio Hidalgo,Hidalgo Gobernador Oloroso Seco N.V.,"Spain
·
Oloroso Sherry",3.9,$26.99
107,Warre's,Vintage Port 1985,"Portugal
·
Porto",4.5,$129.99
108,W. & J. Graham's,Vintage Port 2011,"Portugal
·
Porto",4.5,$89.99
109,Toro Albalá,Don PX Convento Selección 1946,"Spain
·
Montilla-Moriles",4.9,$307.98
110,Broadbent,Madeira 10 Years Old Malmsey N.V.,"Portugal
·
Madeira",4.2,$54.99
111,Niepoort,Late Bottled Vintage Port 2014,"Portugal
·
Porto",3.9,$28.99
112,Gutiérrez Colosía,Oloroso Sherry N.V.,"Spain
·
Oloroso Sherry",3.6,$26
113,Dow's,Quinta do Bomfim Vintage Port 2005,"Portugal
·
Porto",4.1,$56.99
114,Smith Woodhouse,20 Year Old Tawny Porto N.V.,"Portugal
·
Porto",4.2,$49.99
115,Henriques & Henriques,Malvasia 20 Years Old Madeira N.V.,"Portugal
·
Madeira",4.2,$99.99
116,Dow's,Vintage Port 2007,"Portugal
·
Porto",4.7,$199.99
117,Ferreira,Dona Antonia 20 Años Old Tawny Porto N.V.,"Portugal
·
Porto",4.4,$64.99
118,Quinta do Noval,Silval Vintage Port 2000,"Portugal
·
Porto",4.2,$52.99
119,Maynard's,40 Years Old Aged Tawny Port N.V.,"Portugal
·
Porto",4.2,$79.99
120,Feuerheerd's,Colheita Port N.V.,"Portugal
·
Porto",4.1,$137.99
121,Taylor's,Reserve Tawny Porto N.V.,"Portugal
·
Porto",4.0,$79.99
122,Loel,Commandaria Alasia N.V.,"Cyprus
·
Commandaria",4.2,$29.99
123,Croft,Vintage Port 2011,"Portugal
·
Porto",4.4,$92.99
124,Emilio Hidalgo,Villapanes Oloroso Seco N.V.,"Spain
·
Oloroso Sherry",4.0,$74.99
125,Churchill's,Vintage Port 2011,"Portugal
·
Porto",4.5,$104.99
126,Ferreira,Late Bottled Vintage Port 2010,"Portugal
·
Porto",3.9,$25.99
127,Warre's,Quinta da Cavadinha Vintage Port 2001,"Portugal
·
Porto",4.1,$89.99
128,Smith Woodhouse,Lodge Reserve Porto N.V.,"Portugal
·
Porto",3.8,$25.99
129,W. & J. Graham's,Vintage Port 2007,"Portugal
·
Porto",4.5,$164.99
130,Henriques & Henriques,Malvasia 15 Years Old Madeira N.V.,"Portugal
·
Madeira",4.1,$65.99
131,Taylor's,Vintage Port 2007,"Portugal
·
Porto",4.2,$99.99
132,Warre's,Vintage Port 1980,"Portugal
·
Porto",4.4,$159.99
133,Smith Woodhouse,Late Bottled Vintage Port 2004,"Portugal
·
Porto",4.1,$36.99
134,Quinta do Noval,Late Bottled Vintage Unfiltered Port 2013,"Portugal
·
Porto",3.8,$26.99
135,Warre's,Vintage Port 1994,"Portugal
·
Porto",4.4,$59.99
136,Henriques & Henriques,Malvasia 10 Years Old Madeira N.V.,"Portugal
·
Madeira",4.1,$49.99
137,W. & J. Graham's,Vintage Port 2003,"Portugal
·
Porto",4.3,$99.99
