,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
44,Duckhorn,Napa Valley Cabernet Sauvignon N.V.,United States_Napa Valley,4.3,$59.98,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
45,Allegrini,Amarone della Valpolicella Classico N.V.,Italy_Amarone della Valpolicella Classico,4.3,$76.98,red,Italy,Amarone della Valpolicella Classico,N.V.,Valpolicella
46,Penfolds,Bin 28 Kalimna Shiraz N.V.,Australia_Barossa Valley,4.0,$30.79,red,Australia,Barossa Valley,N.V.,Shiraz
47,Mollydooker,The Boxer Shiraz N.V.,Australia_McLaren Vale,4.1,$29.92,red,Australia,McLaren Vale,N.V.,Shiraz
48,Tinto Pesquera,Reserva N.V.,Spain_Ribera del Duero,4.1,$49.49,red,Spain,Ribera del Duero,N.V.,Blend
49,Chateau Montelena,Cabernet Sauvignon (Calistoga Cuvée) N.V.,United States_Calistoga,4.2,$58.28,red,United States,Calistoga,N.V.,Cabernet Sauvignon
50,Orin Swift,Papillon N.V.,United States_Napa Valley,4.5,$69.71,red,United States,Napa Valley,N.V.,Blend
51,Cakebread,Cabernet Sauvignon N.V.,United States_Napa Valley,4.4,$74.99,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
52,Imperial,Rioja Reserva N.V.,Spain_Rioja,4.1,$43.98,red,Spain,Rioja,N.V.,Rioja
53,Achaval-Ferrer,Quimera N.V.,Argentina_Mendoza,4.2,$35.19,red,Argentina,Mendoza,N.V.,Blend
54,Antinori,Badia a Passignano Gran Selezione Chianti Classico N.V.,Italy_Chianti Classico,4.1,$54.98,red,Italy,Chianti Classico,N.V.,Chianti
55,Quinta do Crasto,Crasto Superior Red N.V.,Portugal_Douro,4.0,$30.79,red,Portugal,Douro,N.V.,Blend
56,Frank Family,Cabernet Sauvignon N.V.,United States_Napa Valley,4.3,$49.48,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
57,Remelluri,Rioja Reserva N.V.,Spain_Rioja,4.0,$41.79,red,Spain,Rioja,N.V.,Rioja
58,Mount Veeder Winery,Cabernet Sauvignon N.V.,United States_Napa Valley,4.1,$39.99,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
59,Orin Swift,Palermo Cabernet Sauvignon N.V.,United States_Napa Valley,4.3,$47.28,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
60,Pulenta Estate,Malbec (I) N.V.,Argentina_Mendoza,4.0,$27.49,red,Argentina,Mendoza,N.V.,Malbec
61,Gaja,Ca'Marcanda Magari N.V.,Italy_Bolgheri,4.2,$71.49,red,Italy,Bolgheri,N.V.,Blend
62,Pio Cesare,Barolo N.V.,Italy_Barolo,4.2,$71.49,red,Italy,Barolo,N.V.,Barolo
63,Dominus,Dominus (Christian Moueix) N.V.,United States_Napa Valley,4.5,$274.98,red,United States,Napa Valley,N.V.,Blend
64,Poliziano,Vino Nobile di Montepulciano N.V.,Italy_Vino Nobile di Montepulciano,4.0,$32.99,red,Italy,Vino Nobile di Montepulciano,N.V.,Montepulciano
65,Stags' Leap,Petite Sirah N.V.,United States_Napa Valley,4.2,$38.49,red,United States,Napa Valley,N.V.,Petite Sirah
66,Marqués de Murrieta,Castillo Ygay Gran Reserva Especial Tinto N.V.,Spain_Rioja,4.4,$104.48,red,Spain,Rioja,N.V.,Blend
67,Luca,Old Vine Malbec N.V.,Argentina_Uco Valley,4.1,$32.99,red,Argentina,Uco Valley,N.V.,Malbec
68,Hall,Napa Valley Cabernet Sauvignon N.V.,United States_Napa Valley,4.2,$49.49,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
69,Numanthia,Numanthia N.V.,Spain_Toro,4.3,$43.99,red,Spain,Toro,N.V.,Blend
70,Caymus,Cabernet Sauvignon 2015,United States_Napa Valley,4.6,$114.99,red,United States,Napa Valley,2015,Cabernet Sauvignon
71,Sequoia Grove,Cabernet Sauvignon N.V.,United States_Napa Valley,4.2,$46.18,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
72,Montes,Purple Angel N.V.,Chile_Colchagua Valley,4.4,$69.99,red,Chile,Colchagua Valley,N.V.,Blend
73,Vietti,Perbacco Nebbiolo N.V.,Italy_Langhe,3.8,$27.48,red,Italy,Langhe,N.V.,Nebbiolo
74,Austin Hope,Cabernet Sauvignon N.V.,United States_Paso Robles,4.5,$37.99,red,United States,Paso Robles,N.V.,Cabernet Sauvignon
75,Cheval des Andes,Mendoza N.V.,Argentina_Mendoza,4.4,$76.99,red,Argentina,Mendoza,N.V.,Blend
76,Cesari,Amarone della Valpolicella Classico N.V.,Italy_Amarone della Valpolicella Classico,4.2,$43.98,red,Italy,Amarone della Valpolicella Classico,N.V.,Valpolicella
77,Cantine San Marzano,62 Anniversario Primitivo di Manduria Riserva N.V.,Italy_Primitivo di Manduria,4.4,$29.16,red,Italy,Primitivo di Manduria,N.V.,Blend
78,Orin Swift,Machete N.V.,United States_California,4.4,$46.49,red,United States,California,N.V.,Blend
79,Juan Gil,Jumilla Blue Label N.V.,Spain_Jumilla,4.1,$32.99,red,Spain,Jumilla,N.V.,Blend
80,El Enemigo,Cabernet Franc N.V.,Argentina_Mendoza,4.2,$25.29,red,Argentina,Mendoza,N.V.,Cabernet Franc
81,Castellare,Chianti Classico N.V.,Italy_Chianti Classico,3.8,$25.29,red,Italy,Chianti Classico,N.V.,Chianti
82,Quilt,Cabernet Sauvignon N.V.,United States_Napa Valley,4.3,$29.79,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
83,G.D. Vajra,Albe Barolo N.V.,Italy_Barolo,3.9,$40.69,red,Italy,Barolo,N.V.,Barolo
84,Silverado,Estate Cabernet Sauvignon N.V.,United States_Napa Valley,4.1,$43.98,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
85,Honig,Cabernet Sauvignon N.V.,United States_Napa Valley,4.2,$48.38,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
86,Belle Glos,Dairyman Vineyard Pinot Noir N.V.,United States_Russian River Valley,4.4,$33.99,red,United States,Russian River Valley,N.V.,Pinot Noir
87,Tommasi,Amarone della Valpolicella Classico 2013,Italy_Amarone della Valpolicella Classico,4.3,$67.99,red,Italy,Amarone della Valpolicella Classico,2013,Valpolicella
88,Avignonesi,Vino Nobile di Montepulciano N.V.,Italy_Vino Nobile di Montepulciano,3.9,$27.49,red,Italy,Vino Nobile di Montepulciano,N.V.,Montepulciano
89,Sena,Aconcagua Valley N.V.,Chile_Aconcagua Valley,4.5,$142.99,red,Chile,Aconcagua Valley,N.V.,Blend
90,d'Arenberg,The Dead Arm Shiraz N.V.,Australia_McLaren Vale,4.2,$54.99,red,Australia,McLaren Vale,N.V.,Shiraz
91,Cantine San Marzano,60 Sessantanni Old Vines Primitivo di Manduria 2015,Italy_Primitivo di Manduria,4.5,$29,red,Italy,Primitivo di Manduria,2015,Blend
92,Viña Pedrosa,Crianza Ribera del Duero N.V.,Spain_Ribera del Duero,3.9,$38.49,red,Spain,Ribera del Duero,N.V.,Blend
93,Pulenta Estate,Gran Cabernet Franc (XI) N.V.,Argentina_Mendoza,4.4,$47.29,red,Argentina,Mendoza,N.V.,Cabernet Franc
94,Penfolds,St. Henri Shiraz N.V.,Australia_South Australia,4.3,$109.99,red,Australia,South Australia,N.V.,Shiraz
95,El Enemigo,Gran Enemigo N.V.,Argentina_Mendoza,4.4,$87.99,red,Argentina,Mendoza,N.V.,Blend
96,Cepa 21,Ribera del Duero Tinto N.V.,Spain_Ribera del Duero,3.9,$30.79,red,Spain,Ribera del Duero,N.V.,Blend
97,Kanonkop,Pinotage N.V.,South Africa_Stellenbosch,4.2,$47.29,red,South Africa,Stellenbosch,N.V.,Pinotage
98,Domaine Mathieu & Camille Lapierre,Morgon N.V.,France_Morgon,4.0,$43.99,red,France,Morgon,N.V.,Blend
99,Speri,Vigneto Monte Sant'Urbano Amarone della Valpolicella Classico N.V.,Italy_Amarone della Valpolicella Classico,4.3,$65.98,red,Italy,Amarone della Valpolicella Classico,N.V.,Valpolicella
100,Two Hands,Angels' Share Shiraz N.V.,Australia_McLaren Vale,4.1,$29.69,red,Australia,McLaren Vale,N.V.,Shiraz
101,Chappellet,Mountain Cuvée N.V.,United States_Napa Valley,4.2,$28.85,red,United States,Napa Valley,N.V.,Blend
102,Punica,Montessu N.V.,Italy_Isola dei Nuraghi,3.9,$36.99,red,Italy,Isola dei Nuraghi,N.V.,Blend
103,Ridge Vineyards,Lytton Springs N.V.,United States_Dry Creek Valley,4.1,$36.28,red,United States,Dry Creek Valley,N.V.,Blend
104,Grgich Hills,Cabernet Sauvignon N.V.,United States_Napa Valley,4.2,$71.48,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
105,Château de Beaucastel,Coudoulet de Beaucastel Côtes-du-Rhône N.V.,France_Côtes-du-Rhône,4.0,$27.48,red,France,Côtes-du-Rhône,N.V.,Blend
106,Pulenta Estate,Gran Corte (VII) N.V.,Argentina_Mendoza,4.4,$43.99,red,Argentina,Mendoza,N.V.,Blend
107,Pegau,Cuvée Réservée Châteauneuf-du-Pape Rouge N.V.,France_Châteauneuf-du-Pape,4.2,$68.27,red,France,Châteauneuf-du-Pape,N.V.,Blend
108,Goldeneye,Anderson Valley Pinot Noir N.V.,United States_Anderson Valley,4.3,$52.79,red,United States,Anderson Valley,N.V.,Pinot Noir
109,Borgogno,Barolo N.V.,Italy_Barolo,4.0,$79,red,Italy,Barolo,N.V.,Barolo
110,Paul Jaboulet Aîné,Hermitage La Chapelle Rouge N.V.,France_Hermitage,4.3,$197.98,red,France,Hermitage,N.V.,Blend
111,Zonin,Amarone della Valpolicella N.V.,Italy_Amarone della Valpolicella,4.1,$49.49,red,Italy,Amarone della Valpolicella,N.V.,Valpolicella
112,Quintessa,Rutherford N.V.,United States_Rutherford,4.6,$175.99,red,United States,Rutherford,N.V.,Blend
113,Beaulieu Vineyard (BV),Napa Valley Cabernet Sauvignon N.V.,United States_Napa Valley,3.8,$26.39,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
114,Groth,Cabernet Sauvignon N.V.,United States_Oakville,4.2,$54.98,red,United States,Oakville,N.V.,Cabernet Sauvignon
115,Far Niente,Estate Bottled Cabernet Sauvignon N.V.,United States_Oakville,4.6,$197.98,red,United States,Oakville,N.V.,Cabernet Sauvignon
116,Isole e Olena,Chianti Classico N.V.,Italy_Chianti Classico,3.9,$26.39,red,Italy,Chianti Classico,N.V.,Chianti
117,Opus One,Overture N.V.,United States_Napa Valley,4.4,$129.95,red,United States,Napa Valley,N.V.,Blend
118,Viña Cobos,Bramare Malbec Uco Valley N.V.,Argentina_Uco Valley,4.3,$43.99,red,Argentina,Uco Valley,N.V.,Malbec
119,Quinta do Carmo,Tinto N.V.,Portugal_Alentejano,3.9,$27.49,red,Portugal,Alentejano,N.V.,Blend
120,Massolino,Barolo N.V.,Italy_Barolo,4.1,$49.49,red,Italy,Barolo,N.V.,Barolo
121,Vietti,Barolo Castiglione N.V.,Italy_Barolo,4.1,$54.99,red,Italy,Barolo,N.V.,Barolo
122,Clos des Papes (Paul Avril),Châteauneuf-du-Pape N.V.,France_Châteauneuf-du-Pape,4.3,$109.99,red,France,Châteauneuf-du-Pape,N.V.,Blend
123,Donnafugata,Mille E Una Notte N.V.,Italy_Contessa Entellina,4.3,$82.49,red,Italy,Contessa Entellina,N.V.,Blend
124,Carpineto,Vino Nobile di Montepulciano Riserva N.V.,Italy_Vino Nobile di Montepulciano,3.9,$27.48,red,Italy,Vino Nobile di Montepulciano,N.V.,Montepulciano
125,Flowers,Pinot Noir N.V.,United States_Sonoma Coast,4.3,$43.98,red,United States,Sonoma Coast,N.V.,Pinot Noir
126,Argiolas,Turriga Isola dei Nuraghi N.V.,Italy_Isola dei Nuraghi,4.4,$82.49,red,Italy,Isola dei Nuraghi,N.V.,Blend
127,Ridge Vineyards,Geyserville N.V.,United States_Alexander Valley,4.2,$36.28,red,United States,Alexander Valley,N.V.,Blend
128,Freemark Abbey,Cabernet Sauvignon N.V.,United States_Napa Valley,4.1,$43.98,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
129,Stags' Leap,Merlot N.V.,United States_Napa Valley,4.0,$32.98,red,United States,Napa Valley,N.V.,Merlot
130,Chacra,Barda Pinot Noir N.V.,Argentina_Patagonia,3.9,$26.39,red,Argentina,Patagonia,N.V.,Pinot Noir
131,Terrazas de los Andes,Single Vineyard (Las Compuertas) Malbec N.V.,Argentina_Mendoza,4.0,$43.99,red,Argentina,Mendoza,N.V.,Malbec
132,El Enemigo,Bonarda N.V.,Argentina_Mendoza,4.2,$26.39,red,Argentina,Mendoza,N.V.,Blend
133,Alta Vista,Terroir Selection Malbec N.V.,Argentina_Uco Valley,3.9,$32.99,red,Argentina,Uco Valley,N.V.,Malbec
134,Alto Moncayo,Veraton Garnacha N.V.,Spain_Campo de Borja,4.2,$29.69,red,Spain,Campo de Borja,N.V.,Blend
135,Château La Conseillante,Pomerol N.V.,France_Pomerol,4.3,$252.98,red,France,Pomerol,N.V.,Blend
136,Bodega Contador (Benjamín Romeo),Predicador Rioja N.V.,Spain_Rioja,3.9,$35.19,red,Spain,Rioja,N.V.,Rioja
137,BenMarco,Expresivo N.V.,Argentina_Lujan de Cuyo,4.2,$31.89,red,Argentina,Lujan de Cuyo,N.V.,Blend
138,Orin Swift,Eight Years In The Desert N.V.,United States_California,4.4,$42,red,United States,California,N.V.,Blend
139,Rombauer Vineyards,Zinfandel N.V.,United States_California,4.3,$34.87,red,United States,California,N.V.,Zinfandel
140,Antinori,Tenuta Guado al Tasso Il Bruciato Bolgheri 2016,Italy_Bolgheri,4.1,$42.99,red,Italy,Bolgheri,2016,Blend
